GID,CUSTOMER_CLASS,CUSTOMER_ADDR,A10,A20,A30,A40,A50,A60,X,TOTAL,WD_A10,WD_A20,WD_A30,WD_A40,WD_A50,WD_A60,WD_X,WD_TOTAL,HD_A10,HD_A20,HD_A30,HD_A40,HD_A50,HD_A60,HD_X,HD_TOTAL
다사611484,내국인,관내,69.3625,81.1408,49.4294,44.8513,38.2474,65.6219,0.0,348.6533,52.5526,47.585,54.6482,54.4178,23.746,53.4761,0.0,286.4257,53.0324,47.7276,40.2034,59.5365,45.7099,89.6239,0.0,335.8337
다사611484,내국인,관외,84.5969,80.9021,63.927,30.6087,64.2712,11.1238,0.0,335.4297000000001,50.4782,64.329,41.4516,43.0828,58.523,11.7635,0.0,269.6281,79.659,112.0219,41.2272,25.6895,62.458,7.596,0.0,328.65160000000003
다사611484,법인,X,0.0,0.0,0.0,0.0,0.0,0.0,57.4261,57.4261,0.0,0.0,0.0,0.0,0.0,0.0,62.0883,62.0883,0.0,0.0,0.0,0.0,0.0,0.0,55.7288,55.7288
다사611485,내국인,관내,30.9217,3.4174,46.4712,90.4396,11.8422,68.4949,0.0,251.58700000000002,26.4986,4.2321,23.8413,113.1571,15.2674,72.4693,0.0,255.46580000000003,44.6263,4.154,67.8026,90.5917,8.8319,35.9456,0.0,251.95209999999997
다사611485,내국인,관외,43.8887,27.0642,99.6007,23.4439,83.6406,24.6851,0.0,302.3232,42.1526,28.1339,62.7518,17.6314,71.9251,36.3631,0.0,258.9579,48.2755,36.0824,139.6899,31.1819,80.6884,27.5284,0.0,363.44649999999996
다사611485,법인,X,0.0,0.0,0.0,0.0,0.0,0.0,62.4545,62.4545,0.0,0.0,0.0,0.0,0.0,0.0,33.1637,33.1637,0.0,0.0,0.0,0.0,0.0,0.0,69.0822,69.0822
다사611485,외국인,X,0.0,0.0,0.0,0.0,0.0,0.0,52.4693,52.4693,0.0,0.0,0.0,0.0,0.0,0.0,48.1912,48.1912,0.0,0.0,0.0,0.0,0.0,0.0,6.4096,6.4096
다사612483,내국인,관내,56.5764,83.4729,21.037,59.3886,83.7404,94.0716,0.0,398.28689999999995,38.4388,49.4277,20.5098,63.8931,75.2997,51.3658,0.0,298.93489999999997,68.167,54.3633,15.8436,61.9405,79.1272,99.5474,0.0,378.98900000000003
다사612483,내국인,관외,84.1721,74.7875,91.9249,90.1308,45.9968,76.3389,0.0,463.351,89.3568,69.1574,101.4183,97.536,46.0783,57.9936,0.0,461.54040000000003,110.0731,93.7777,82.9473,113.5409,34.7777,72.3371,0.0,507.45379999999994
다사612483,법인,X,0.0,0.0,0.0,0.0,0.0,0.0,0.5789,0.5789,0.0,0.0,0.0,0.0,0.0,0.0,50.8359,50.8359,0.0,0.0,0.0,0.0,0.0,0.0,32.324,32.324
다사612483,외국인,X,0.0,0.0,0.0,0.0,0.0,0.0,0.4026,0.4026,0.0,0.0,0.0,0.0,0.0,0.0,96.146,96.146,0.0,0.0,0.0,0.0,0.0,0.0,38.7462,38.7462
다사612484,내국인,관내,15.4089,83.4305,28.5998,86.6031,93.7781,85.7881,0.0,393.6085,14.278,76.7052,14.661,54.2136,133.831,120.9538,0.0,414.6426,7.7488,77.5263,22.1793,67.7423,125.8067,126.4273,0.0,427.43070000000006
다사612484,내국인,관외,91.3752,85.0713,70.6131,89.0142,4.1799,28.0323,0.0,368.286,70.7388,58.174,79.8691,80.3745,2.998,19.3052,0.0,311.4596,92.3061,112.6398,83.1204,90.4301,4.7733,14.679,0.0,397.9487
다사612484,법인,X,0.0,0.0,0.0,0.0,0.0,0.0,39.2223,39.2223,0.0,0.0,0.0,0.0,0.0,0.0,12.6434,12.6434,0.0,0.0,0.0,0.0,0.0,0.0,94.0265,94.0265
