GID,CUSTOMER_CLASS,CUSTOMER_ADDR,A10,A20,A30,A40,A50,A60,X,TOTAL,WD_A10,WD_A20,WD_A30,WD_A40,WD_A50,WD_A60,WD_X,WD_TOTAL,HD_A10,HD_A20,HD_A30,HD_A40,HD_A50,HD_A60,HD_X,HD_TOTAL
다사611484,내국인,관내,24.9274,17.772,8.4865,67.5054,41.2608,97.0583,0.0,257.0104,25.2344,23.002,4.6875,56.4462,39.2642,107.4673,0.0,256.10159999999996,15.3774,12.4585,11.8155,35.3414,54.8588,126.7609,0.0,256.6125
다사611484,내국인,관외,99.8711,90.1679,20.3778,72.1979,4.2417,32.2386,0.0,319.09499999999997,133.818,123.8748,16.8627,39.5757,5.1196,47.1686,0.0,366.4194,70.9435,51.5531,17.7649,90.8542,2.8867,19.0178,0.0,253.0202
다사611484,법인,X,0.0,0.0,0.0,0.0,0.0,0.0,39.1459,39.1459,0.0,0.0,0.0,0.0,0.0,0.0,9.1602,9.1602,0.0,0.0,0.0,0.0,0.0,0.0,28.569,28.569
다사611484,외국인,X,0.0,0.0,0.0,0.0,0.0,0.0,2.6303,2.6303,0.0,0.0,0.0,0.0,0.0,0.0,58.6007,58.6007,0.0,0.0,0.0,0.0,0.0,0.0,61.6841,61.6841
다사611485,내국인,관내,69.2095,57.0503,46.7376,81.0655,99.614,14.6222,0.0,368.29910000000007,75.071,38.5258,58.2852,55.8164,74.0835,15.2333,0.0,317.0152,99.6075,82.446,44.6417,69.3877,55.1769,12.7053,0.0,363.9651
다사611485,내국인,관외,57.12,99.9482,19.0934,67.0256,10.4225,41.4845,0.0,295.0942,59.1305,134.9022,24.4815,70.8753,10.9877,53.1163,0.0,353.49350000000004,47.1187,73.3917,22.5208,58.2621,14.0262,47.611,0.0,262.9305
다사611485,법인,X,0.0,0.0,0.0,0.0,0.0,0.0,24.3397,24.3397,0.0,0.0,0.0,0.0,0.0,0.0,44.0419,44.0419,0.0,0.0,0.0,0.0,0.0,0.0,65.8417,65.8417
다사612483,내국인,관내,81.9667,79.3238,9.0586,59.0708,63.7219,98.4391,0.0,391.5809,85.1038,118.2727,12.5212,57.5648,45.21,79.606,0.0,398.2785,55.4484,108.4502,9.378,87.1996,88.5855,58.5297,0.0,407.59139999999996
다사612483,내국인,관외,95.0297,53.7019,0.8277,11.6574,84.6738,21.3004,0.0,267.1909,142.3321,59.6841,0.9373,17.3334,97.9226,23.6885,0.0,341.89799999999997,138.6681,49.1658,1.0748,8.8627,103.982,19.336,0.0,321.0894
다사612483,법인,X,0.0,0.0,0.0,0.0,0.0,0.0,72.3648,72.3648,0.0,0.0,0.0,0.0,0.0,0.0,134.3004,134.3004,0.0,0.0,0.0,0.0,0.0,0.0,110.3502,110.3502
다사612484,내국인,관내,68.349,37.6062,86.1672,0.1824,24.1945,71.8587,0.0,288.358,73.5499,32.4916,88.1059,0.2252,25.4442,80.9808,0.0,300.7976,98.3965,52.0491,73.505,0.2443,30.3665,52.0305,0.0,306.5919
다사612484,내국인,관외,32.893,72.0734,53.1938,77.0856,64.3354,9.7885,0.0,309.3697,34.4172,44.132,72.5775,55.2835,91.9677,6.2817,0.0,304.6596,20.2186,95.0247,30.2248,106.8628,82.3473,12.3084,0.0,346.9866
다사612485,내국인,관내,34.4675,93.824,90.6816,99.1206,88.9393,0.8878,0.0,407.92080000000004,25.5364,125.7071,117.078,71.4494,125.4197,0.8091,0.0,465.9997,32.0789,106.9709,106.554,137.9475,61.6031,0.7219,0.0,445.87629999999996
다사612485,내국인,관외,26.0313,46.8043,9.2145,50.4566,80.0219,75.7219,0.0,288.2505,29.4266,64.0795,9.8945,30.9956,98.6284,105.5505,0.0,338.5751,21.5408,59.9098,8.5015,46.345,104.1022,81.2441,0.0,321.6434
다사612485,법인,X,0.0,0.0,0.0,0.0,0.0,0.0,61.9276,61.9276,0.0,0.0,0.0,0.0,0.0,0.0,151.7461,151.7461,0.0,0.0,0.0,0.0,0.0,0.0,178.4919,178.4919
다사612486,내국인,관내,21.4055,68.1671,81.6468,28.659,47.2418,17.2856,0.0,264.4058,31.8619,63.1834,67.7901,23.5961,45.3948,21.4182,0.0,253.24450000000002,12.9021,40.6546,55.2185,23.6531,53.4243,11.7351,0.0,197.58769999999998
다사612486,내국인,관외,17.874,78.7408,47.952,96.3849,44.4091,59.0487,0.0,344.40950000000004,18.8004,72.3197,31.8626,63.2967,49.9488,62.4471,0.0,298.6753,20.8267,82.8067,64.8667,143.4057,45.7013,80.9524,0.0,438.5595
