GID,CUSTOMER_CLASS,CUSTOMER_ADDR,A10,A20,A30,A40,A50,A60,X,TOTAL,WD_A10,WD_A20,WD_A30,WD_A40,WD_A50,WD_A60,WD_X,WD_TOTAL,HD_A10,HD_A20,HD_A30,HD_A40,HD_A50,HD_A60,HD_X,HD_TOTAL
다사611484,내국인,관내,59.7205,73.6077,85.3684,24.7637,14.0681,31.2896,0.0,288.818,58.7072,58.1064,47.5083,24.56,13.2017,19.5257,0.0,221.6093,41.1971,65.6864,57.7264,20.9013,18.3155,28.3176,0.0,232.14429999999996
다사611484,내국인,관외,95.0707,78.413,27.8213,2.1097,28.1669,97.2183,0.0,328.7999,102.986,106.888,19.7344,3.0237,23.4212,84.2251,0.0,340.27840000000003,135.6403,48.4249,23.5591,1.2215,17.9936,65.2312,0.0,292.0706
다사611484,법인,X,0.0,0.0,0.0,0.0,0.0,0.0,24.1586,24.1586,0.0,0.0,0.0,0.0,0.0,0.0,60.8577,60.8577,0.0,0.0,0.0,0.0,0.0,0.0,56.777,56.777
다사611484,외국인,X,0.0,0.0,0.0,0.0,0.0,0.0,71.616,71.616,0.0,0.0,0.0,0.0,0.0,0.0,67.524,67.524,0.0,0.0,0.0,0.0,0.0,0.0,22.0846,22.0846
다사611485,내국인,관내,5.173,5.0281,85.5712,74.722,71.5712,13.0574,0.0,255.12290000000002,3.4419,4.1026,115.6033,109.2238,36.3385,12.4322,0.0,281.14230000000003,6.1328,7.3163,87.1727,55.5116,71.3207,10.3088,0.0,237.76289999999997
다사611485,내국인,관외,27.3067,85.3667,23.1979,97.9159,54.0238,76.3266,0.0,364.13759999999996,28.8231,76.6201,23.1213,69.9901,46.0444,38.749,0.0,283.348,15.3911,91.2243,16.0378,91.4307,32.5671,75.06,0.0,321.711
다사611485,외국인,X,0.0,0.0,0.0,0.0,0.0,0.0,5.3812,5.3812,0.0,0.0,0.0,0.0,0.0,0.0,33.0083,33.0083,0.0,0.0,0.0,0.0,0.0,0.0,38.4971,38.4971
다사612483,내국인,관내,18.5576,45.5957,51.3691,57.2086,8.358,49.2187,0.0,230.3077,26.381,34.1821,71.7382,71.6383,5.5739,46.6569,0.0,256.1704,27.0462,66.9964,38.2265,57.516,5.4273,52.1709,0.0,247.38329999999996
다사612483,내국인,관외,84.8437,78.5851,59.0803,43.6743,95.833,60.6075,0.0,422.6239,52.9576,106.6741,54.5711,37.5181,98.9761,83.0116,0.0,433.7086,58.5926,103.9169,76.9659,30.4857,137.2227,74.9434,0.0,482.1272
다사612484,내국인,관내,0.7953,39.828,88.5169,31.3255,66.9995,93.5009,0.0,320.9661,0.9158,39.431,90.8802,39.0308,87.0362,54.4608,0.0,311.7548,0.9441,54.2226,67.2708,36.4864,56.3093,87.9998,0.0,303.233
