GID,CUSTOMER_CLASS,CUSTOMER_ADDR,A10,A20,A30,A40,A50,A60,X,TOTAL,WD_A10,WD_A20,WD_A30,WD_A40,WD_A50,WD_A60,WD_X,WD_TOTAL,HD_A10,HD_A20,HD_A30,HD_A40,HD_A50,HD_A60,HD_X,HD_TOTAL
다사611484,내국인,관내,50.2453,26.556,86.9628,1.8683,66.6928,59.3504,0.0,291.6756,55.4925,13.8819,85.8638,1.8128,44.8111,43.3078,0.0,245.16990000000004,36.4292,31.28,81.896,2.6415,83.8308,83.9755,0.0,320.05300000000005
다사611484,내국인,관외,67.9616,27.0155,92.4907,46.5457,13.3486,73.4615,0.0,320.82360000000006,54.2492,38.4763,117.2991,64.8941,7.2235,69.3462,0.0,351.4884,53.8628,30.1064,58.4118,67.7619,18.0354,99.9766,0.0,328.1549
다사611484,법인,X,0.0,0.0,0.0,0.0,0.0,0.0,21.8742,21.8742,0.0,0.0,0.0,0.0,0.0,0.0,135.6019,135.6019,0.0,0.0,0.0,0.0,0.0,0.0,131.9639,131.9639
다사611484,외국인,X,0.0,0.0,0.0,0.0,0.0,0.0,53.8577,53.8577,0.0,0.0,0.0,0.0,0.0,0.0,52.3117,52.3117,0.0,0.0,0.0,0.0,0.0,0.0,59.0326,59.0326
다사611485,내국인,관내,31.5042,68.3274,32.8913,86.6775,48.5467,7.483,0.0,275.4301,26.4146,38.0383,43.9674,59.1853,67.9766,10.1894,0.0,245.7716,22.9114,96.709,20.8595,90.0048,71.9753,7.7617,0.0,310.22170000000006
다사611485,내국인,관외,87.7131,95.5388,37.1894,87.9449,44.1105,57.4599,0.0,409.9566,77.0363,63.9639,24.6071,89.8908,54.7071,68.2342,0.0,378.4394,131.5329,99.6301,40.5069,100.4254,63.0064,47.0481,0.0,482.1497999999999
다사611485,법인,X,0.0,0.0,0.0,0.0,0.0,0.0,111.975,111.975,0.0,0.0,0.0,0.0,0.0,0.0,0.6946,0.6946,0.0,0.0,0.0,0.0,0.0,0.0,97.0298,97.0298
다사612483,내국인,관내,1.0935,6.3462,82.8033,87.8846,14.9962,10.1767,0.0,203.3005,1.5873,5.8634,50.8236,96.0562,18.423,7.3869,0.0,180.1404,0.6596,6.118,66.3317,87.2397,12.4825,11.3328,0.0,184.16429999999997
다사612483,내국인,관외,19.3043,89.754,56.6106,38.2392,1.9125,87.217,0.0,293.0376,17.2122,125.2218,47.9237,31.0779,1.6751,76.6373,0.0,299.748,22.1835,80.9154,65.9787,41.3439,0.9683,57.8489,0.0,269.2387
다사612484,내국인,관내,64.7811,68.5003,89.4784,59.6984,60.4182,62.7406,0.0,405.61699999999996,72.7312,75.8703,54.031,79.4516,75.5297,55.6122,0.0,413.226,43.9238,51.3154,104.7165,48.0714,86.1448,54.7616,0.0,388.9334999999999
다사612484,내국인,관외,82.1233,33.6128,23.7618,3.8862,84.531,99.4962,0.0,327.4113,51.8519,44.1674,15.7507,4.2752,48.8955,118.0592,0.0,282.9999,108.504,29.5301,16.294,4.4198,93.4506,105.7671,0.0,357.9656
다사612484,법인,X,0.0,0.0,0.0,0.0,0.0,0.0,66.4521,66.4521,0.0,0.0,0.0,0.0,0.0,0.0,29.4272,29.4272,0.0,0.0,0.0,0.0,0.0,0.0,4.5377,4.5377
다사612484,외국인,X,0.0,0.0,0.0,0.0,0.0,0.0,66.2671,66.2671,0.0,0.0,0.0,0.0,0.0,0.0,107.8796,107.8796,0.0,0.0,0.0,0.0,0.0,0.0,128.2014,128.2014
다사612485,내국인,관내,60.0302,52.247,73.1244,84.3723,47.103,28.8076,0.0,345.68449999999996,37.6578,65.0692,84.8162,114.363,61.2229,20.2039,0.0,383.33299999999997,32.6719,68.7118,108.0837,78.0529,68.13,25.1846,0.0,380.8349
다사612485,내국인,관외,93.5942,32.603,24.1813,14.955,60.62,30.5282,0.0,256.48170000000005,88.9328,44.7383,33.2774,15.2344,45.6534,33.0491,0.0,260.8854,52.6853,39.9175,27.5766,15.4304,31.4506,42.7343,0.0,209.7947
다사612485,법인,X,0.0,0.0,0.0,0.0,0.0,0.0,39.1747,39.1747,0.0,0.0,0.0,0.0,0.0,0.0,43.2294,43.2294,0.0,0.0,0.0,0.0,0.0,0.0,6.6837,6.6837
다사612485,외국인,X,0.0,0.0,0.0,0.0,0.0,0.0,104.8079,104.8079,0.0,0.0,0.0,0.0,0.0,0.0,137.804,137.804,0.0,0.0,0.0,0.0,0.0,0.0,96.7868,96.7868
다사612486,내국인,관내,88.833,24.6406,60.9346,10.7288,7.086,73.7792,0.0,266.0022,89.2371,17.3672,51.8022,7.4876,5.2667,83.9395,0.0,255.1003,127.0388,29.8103,43.3811,6.573,5.6539,78.6466,0.0,291.1037
다사612486,내국인,관외,80.1529,81.3454,69.6805,35.0221,60.3719,32.2063,0.0,358.77909999999997,42.3662,97.6938,97.5722,46.0232,64.0477,40.7439,0.0,388.447,61.3814,107.7908,83.355,40.227,51.9373,21.4461,0.0,366.13759999999996
다사612486,법인,X,0.0,0.0,0.0,0.0,0.0,0.0,48.4183,48.4183,0.0,0.0,0.0,0.0,0.0,0.0,24.0632,24.0632,0.0,0.0,0.0,0.0,0.0,0.0,0.8294,0.8294
다사613483,내국인,관내,38.6595,69.2691,63.7883,84.0353,54.1143,21.7795,0.0,331.64599999999996,37.9328,60.4595,39.0045,114.4483,76.8542,18.855,0.0,347.5543,28.3444,62.9147,69.5295,70.3348,50.5232,18.9328,0.0,300.5794
다사613483,내국인,관외,17.8274,66.1817,42.0875,38.1021,31.7298,35.7356,0.0,231.66410000000002,14.4186,71.1159,58.3822,51.6148,47.0505,43.5679,0.0,286.1499,18.0838,89.5808,29.3749,31.1245,41.4828,43.9176,0.0,253.5644
다사613483,법인,X,0.0,0.0,0.0,0.0,0.0,0.0,37.1755,37.1755,0.0,0.0,0.0,0.0,0.0,0.0,29.6851,29.6851,0.0,0.0,0.0,0.0,0.0,0.0,44.4499,44.4499
다사613484,내국인,관내,31.6732,56.4537,65.4565,5.1078,46.2324,10.9683,0.0,215.89190000000002,44.9051,36.9758,94.3899,5.2872,49.0321,8.1713,0.0,238.7614,30.107,70.0213,57.8686,3.1413,48.4196,8.5828,0.0,218.14059999999998
다사613484,내국인,관외,20.867,41.5402,2.6697,84.0753,72.0691,37.149,0.0,258.3703,18.6252,42.8189,2.2085,55.8934,68.5086,52.3882,0.0,240.44279999999998,24.0382,53.1607,3.9573,112.8504,78.5515,43.0042,0.0,315.56229999999994
다사613484,외국인,X,0.0,0.0,0.0,0.0,0.0,0.0,80.6318,80.6318,0.0,0.0,0.0,0.0,0.0,0.0,64.3114,64.3114,0.0,0.0,0.0,0.0,0.0,0.0,46.0766,46.0766
다사613485,내국인,관내,38.487,82.9078,17.2587,17.0444,79.8893,96.5911,0.0,332.1783,43.8003,48.562,25.3156,15.5768,40.5034,60.7975,0.0,234.55560000000003,51.0951,113.4125,12.4204,14.2503,85.9033,56.0589,0.0,333.1405
다사613485,내국인,관외,67.3202,96.2163,30.4863,20.9888,58.9491,71.6623,0.0,345.623,90.1378,78.5189,24.7958,31.2514,73.4836,44.3856,0.0,342.5731,49.4635,109.7361,37.4197,22.4062,70.4558,49.8603,0.0,339.3416
다사613485,법인,X,0.0,0.0,0.0,0.0,0.0,0.0,98.6192,98.6192,0.0,0.0,0.0,0.0,0.0,0.0,88.5953,88.5953,0.0,0.0,0.0,0.0,0.0,0.0,61.6596,61.6596
다사613486,내국인,관내,91.4111,48.9998,59.4765,88.8357,56.5046,50.4211,0.0,395.64880000000005,114.5915,67.8961,76.1378,124.1545,43.1203,37.3252,0.0,463.2254,57.0225,61.9348,48.1612,105.1706,30.5862,60.4087,0.0,363.28400000000005
다사613486,내국인,관외,52.1077,67.4635,92.9712,65.7325,72.5586,87.5946,0.0,438.42810000000003,51.6723,72.6651,77.4555,48.633,103.2113,126.2448,0.0,479.882,78.0916,74.3387,55.9842,89.0241,65.4031,124.6769,0.0,487.51859999999994
다사613486,법인,X,0.0,0.0,0.0,0.0,0.0,0.0,101.8668,101.8668,0.0,0.0,0.0,0.0,0.0,0.0,2.7802,2.7802,0.0,0.0,0.0,0.0,0.0,0.0,76.9303,76.9303
다사613486,외국인,X,0.0,0.0,0.0,0.0,0.0,0.0,19.6041,19.6041,0.0,0.0,0.0,0.0,0.0,0.0,47.4932,47.4932,0.0,0.0,0.0,0.0,0.0,0.0,48.0219,48.0219
다사613487,내국인,관내,40.463,64.3472,37.0353,2.6812,32.4781,3.2064,0.0,180.2112,31.9428,67.8167,22.4666,2.2903,47.7461,2.5942,0.0,174.8567,44.3836,76.8173,30.3565,1.782,43.6863,3.6081,0.0,200.63380000000004
다사613487,내국인,관외,35.7451,99.4098,44.3969,48.9657,12.4594,57.0439,0.0,298.0208,53.3471,89.5729,42.0892,39.9019,10.0516,55.1354,0.0,290.09810000000004,53.6043,52.0756,35.6952,45.927,10.0648,33.234,0.0,230.6009
다사613487,법인,X,0.0,0.0,0.0,0.0,0.0,0.0,97.3814,97.3814,0.0,0.0,0.0,0.0,0.0,0.0,30.603,30.603,0.0,0.0,0.0,0.0,0.0,0.0,49.7679,49.7679
