GID,A00,A10,A20,A30,A40,A50,A60,TOTAL,WD_A00,WD_A10,WD_A20,WD_A30,WD_A40,WD_A50,WD_A60,WD_TOTAL,HD_A00,HD_A10,HD_A20,HD_A30,HD_A40,HD_A50,HD_A60,HD_TOTAL
다사608477,155.6287,102.9582,373.2524,335.56,312.4716,77.605,361.6372,1719.1131,186.293,106.9447,518.0204,337.2991,410.1663,73.8202,471.8199,2104.3636,217.0705,138.5155,440.3204,211.2788,284.6525,63.7708,357.233,1712.8415
다사608478,221.642,82.8481,126.9125,21.9757,130.6085,499.1149,272.1572,1355.2588999999998,274.5354,53.3166,133.2696,30.8173,157.9597,544.6123,313.0274,1507.5383,155.3285,123.5626,130.78,25.9002,158.2369,416.3386,362.1039,1372.2507
다사609479,25.8627,376.1965,305.1308,225.5316,111.8829,219.9459,315.2991,1579.8495,20.4989,532.8604,350.9718,239.9687,100.0475,183.1342,292.2346,1719.7161,14.6528,256.8938,371.1438,299.5497,81.1901,279.9443,166.9897,1470.3642
다사609480,331.923,106.1638,408.1961,423.8118,57.2841,415.6126,431.6584,2174.6497999999997,438.9796,123.1941,405.0983,531.8564,42.0141,597.9685,517.7189,2656.8298999999997,370.942,97.1068,437.1459,239.6297,43.5244,425.8561,362.215,1976.4198999999999
다사609481,101.8673,437.6081,62.4866,107.349,108.5213,467.9317,372.818,1658.582,56.966,317.1019,42.8411,65.1797,84.0226,543.9029,483.6155,1593.6297,113.4917,292.3696,61.3094,61.1529,162.3382,484.2679,558.4236,1733.3532999999998
다사610481,134.3991,168.5193,208.36,491.7845,74.6523,254.6129,134.4318,1466.7599000000002,170.614,237.2492,174.9547,733.1234,84.5103,298.169,101.5716,1800.1921999999997,155.1683,151.6626,128.0451,258.2224,91.9797,299.5179,107.7913,1192.3873
다사610482,418.5887,257.9031,102.9862,158.7643,2.0591,69.0786,316.5001,1325.8801,213.7985,356.1097,128.3656,80.5794,1.843,43.9577,162.3758,987.0296999999999,256.4574,354.706,118.8448,237.1921,2.2773,88.9171,221.4542,1279.8488999999997
다사611481,26.6814,61.1844,287.9602,152.8932,429.0028,223.8513,339.6877,1521.261,16.5915,65.9425,340.3489,181.9176,415.0202,174.8381,239.3313,1433.9901,29.6013,91.0625,175.9104,209.6745,559.3859,291.3778,477.1179,1834.1302999999998
다사611482,17.3199,229.6112,475.7032,324.2763,316.9341,276.0225,411.8463,2051.7135,21.9723,278.8857,258.4845,471.1943,311.2741,348.3517,560.2664,2250.429,20.607,226.8921,698.9736,359.7833,238.8401,255.5071,450.1771,2250.7803000000004
다사611483,322.6136,315.4256,9.2914,271.3629,499.6052,320.3927,29.7795,1768.4708999999998,417.6137,207.1986,5.1762,321.4336,274.7357,182.6794,30.0492,1438.8863999999999,422.0664,209.1718,8.1552,280.0918,342.1549,297.406,21.5538,1580.5999
