GID,A00,A10,A20,A30,A40,A50,A60,TOTAL,WD_A00,WD_A10,WD_A20,WD_A30,WD_A40,WD_A50,WD_A60,WD_TOTAL,HD_A00,HD_A10,HD_A20,HD_A30,HD_A40,HD_A50,HD_A60,HD_TOTAL
다사608477,198.667,254.1683,92.213,460.8364,310.3848,203.374,465.3241,1984.9676,279.0898,316.4043,96.2868,475.1384,288.1513,165.478,527.1389,2147.6875,285.8645,235.1044,105.5045,571.3679,160.0987,262.1526,296.0682,1916.1607999999999
다사608478,280.9207,370.6759,18.3716,161.692,393.9483,77.3621,275.7929,1578.7635,420.0598,477.6336,11.1201,232.5535,224.9036,73.904,365.3293,1805.5039000000002,339.8426,251.8965,15.9151,106.0898,567.2092,44.737,270.1867,1595.8769
다사609479,457.6743,122.7424,248.8833,157.9905,347.154,75.7902,98.6381,1508.8727999999999,545.4582,65.2405,196.1612,188.8092,429.7501,80.3104,111.8048,1617.5344,334.6259,125.795,217.1857,100.5797,481.1998,76.8699,109.2276,1445.4836
다사609480,201.2516,24.2174,354.8109,68.697,300.652,373.912,32.7069,1356.2477999999999,290.6216,26.4728,447.7881,77.3192,253.424,465.0066,23.454,1584.0863,137.9548,27.8143,471.5598,48.6658,238.8478,416.6907,16.5392,1358.0723999999998
다사609481,135.5142,245.4511,395.3014,305.309,162.6214,142.1477,126.5321,1512.8768999999998,135.7262,145.626,257.5218,256.1573,227.7846,96.5353,73.258,1192.6092,150.319,365.5729,519.1891,172.7339,213.5051,109.2069,185.0662,1715.5931
다사610481,457.3508,206.5428,459.6068,17.7171,108.8803,102.2229,179.0809,1531.4016,653.6123,264.4534,587.8167,19.2283,83.5371,127.1093,207.4193,1943.1764,362.1818,282.7314,593.9414,21.5143,147.5155,111.6212,151.9234,1671.429
다사610482,226.3119,427.7055,422.0866,52.938,473.6309,475.027,187.3287,2265.0286,139.3056,249.4808,321.3136,41.0048,478.446,257.4775,113.6371,1600.6653999999999,254.6502,495.1727,626.1512,64.7287,401.2666,392.6146,255.0502,2489.6342
다사611481,322.6793,154.8729,485.9992,331.7074,327.6376,495.5805,143.0088,2261.4857,192.2231,127.1215,695.1077,188.9297,407.0715,618.2687,212.882,2441.6042,227.0398,145.958,482.2997,284.5894,299.2795,646.1213,209.9956,2295.2833
다사611482,363.8361,477.1117,24.7641,366.8731,179.754,279.7822,300.9561,1993.0773,405.2253,711.0069,36.5011,482.5412,111.0224,214.8048,251.7092,2212.8109000000004,336.3421,477.7716,18.0134,520.8325,92.8825,414.1067,236.97,2096.9188
다사611483,135.4871,334.9492,441.6786,159.955,396.2529,468.2436,449.3841,2385.9505,129.8836,398.5959,606.3928,183.2609,393.9115,427.4156,432.1916,2571.6519,169.4308,304.2641,281.2125,204.5308,527.3881,552.3432,553.9096,2593.0791
다사611484,314.5811,157.367,462.8646,389.4831,427.3751,394.8051,275.0008,2421.4767999999995,177.4528,113.9669,243.8708,401.7514,218.1589,376.038,149.1224,1680.3611999999998,258.396,209.1586,581.3452,558.5321,441.6999,561.9669,274.1646,2885.2633
다사611485,375.1247,408.8916,311.5426,399.682,259.9338,294.9834,217.4942,2267.6523,258.525,283.4576,248.8114,293.1791,239.4683,256.8951,216.1447,1796.4812000000002,259.5903,339.3511,404.3638,560.9651,348.137,282.2564,117.2544,2311.9181
다사612480,122.0808,441.6299,382.7756,50.6636,102.7349,115.7708,64.7767,1280.4323,152.8883,307.4434,296.5356,55.9505,151.2995,91.1304,74.1344,1129.3820999999998,107.1339,307.5002,374.5799,45.0332,146.7965,128.9477,94.5731,1204.5645
다사612481,459.9978,342.0937,83.9088,382.3053,427.018,410.8157,489.6505,2595.7898000000005,371.1735,303.1167,78.9074,210.1605,353.1133,407.1779,335.5056,2059.1549,493.664,267.1577,89.9514,347.4114,586.7379,213.2346,417.2902,2415.4472
다사612482,127.9995,107.6056,255.7324,255.226,205.6365,256.0503,310.8729,1519.1232000000002,131.9191,128.0209,375.8165,335.6892,206.9912,350.4334,368.1169,1896.9872,138.9959,130.4678,200.6893,149.1993,124.2006,212.909,429.029,1385.4909
다사612483,141.5524,317.9801,370.767,341.9957,23.3115,364.6451,31.0786,1591.3304,73.1123,458.2102,343.0972,248.2646,25.9403,519.8458,32.5879,1701.0583,98.7149,352.003,308.3036,218.2583,32.0619,323.2902,20.8734,1353.5053
다사612484,380.999,447.4103,288.1581,289.0102,98.9654,127.8323,121.872,1754.2473,458.2364,610.1711,327.487,301.4459,114.5752,87.957,94.7051,1994.5777,416.884,494.7466,163.4957,299.3052,62.0956,80.1941,106.1477,1622.8689
다사612485,246.9733,22.8402,107.7459,412.423,99.5472,236.4819,176.4455,1302.457,219.7383,32.7024,157.8002,508.6319,108.0688,342.152,106.3141,1475.4077,327.9892,19.0396,128.5413,239.6904,93.6999,279.842,209.6946,1298.497
다사612486,251.234,370.6861,332.1929,129.2702,87.7567,112.6769,374.2909,1658.1076999999998,181.9938,228.3735,463.6708,88.7251,75.76,141.4497,293.9492,1473.9221000000002,164.8323,543.252,264.3527,116.0189,87.735,149.2057,363.9726,1689.3691999999999
다사612487,170.6295,16.9583,479.3305,353.4744,173.9982,7.3407,72.2235,1273.9551000000001,219.4832,16.26,297.5988,225.244,253.4692,9.3988,62.1574,1083.6114,194.0192,20.8199,340.4666,254.4014,255.3709,6.8474,65.9249,1137.8503
다사613480,150.3504,248.5991,44.3324,189.1859,257.2277,354.3751,389.8871,1633.9577,212.1054,171.1416,58.3783,154.1434,266.1992,477.362,519.4686,1858.7985000000003,187.4297,293.2471,52.1252,230.8242,135.7079,204.2559,518.5931,1622.1831
다사613481,327.4172,244.4083,323.3603,18.8182,194.3709,228.6556,297.8264,1634.8569,365.0002,283.0626,349.7973,17.6614,288.3892,144.5395,355.5045,1803.9547,383.3475,230.5319,275.813,25.3487,275.4463,171.1872,355.6557,1717.3303
다사613482,290.3815,453.6517,76.2784,82.6628,66.4096,145.8132,435.7184,1550.9156,252.7989,315.5513,71.785,76.2935,41.7903,180.5307,399.6051,1338.3548,229.4296,617.603,109.7082,88.409,72.9014,147.0997,371.3431,1636.4940000000001
다사613483,449.9728,80.8484,361.2391,104.3747,462.825,463.793,418.8211,2341.8741,318.2288,90.3878,449.7916,89.7845,467.0979,464.3329,505.537,2385.1604999999995,319.7398,83.1125,221.5957,136.586,444.8318,307.8216,617.1348,2130.8222
다사613484,226.7049,108.541,339.6592,127.472,334.3656,94.0118,13.5549,1244.3093999999999,165.2009,79.3347,255.1316,72.1632,220.5956,120.1139,15.9345,928.4744,224.0426,85.8835,326.3473,159.0792,314.2075,85.7108,9.0442,1204.3151000000003
다사613485,285.2887,288.7396,243.0327,159.0418,146.2383,307.2036,268.7859,1698.3306,385.6523,378.8437,153.4411,171.5537,119.1574,419.8981,201.6567,1830.203,203.6816,329.3947,297.2496,89.2483,102.2367,405.0023,348.0007,1774.8139
다사613486,337.6987,217.9345,439.7214,199.4514,108.5905,88.1185,344.7009,1736.2159000000001,465.1474,261.8235,250.4865,181.0423,116.7468,132.1288,282.1372,1689.5124999999998,259.1339,184.8201,644.5249,214.482,105.1897,118.6786,223.1826,1750.0118
다사613487,385.1695,413.0362,45.5328,442.7946,67.4811,349.6359,388.4687,2092.1187999999997,481.3031,447.8293,24.9814,372.8338,38.1934,398.4866,534.3507,2297.9782999999998,548.6164,366.5048,40.0528,273.788,47.3097,273.1365,350.4269,1899.8351
다사613488,215.638,28.3494,218.8291,201.1934,46.143,376.0888,178.1389,1264.3806,150.7133,24.5233,136.0015,217.5403,60.6929,434.5477,217.4235,1241.4425,132.5351,18.7281,160.824,165.6763,65.3991,484.528,216.7372,1244.4278
다사613489,318.0475,389.1782,299.6564,22.58,235.7946,61.0185,340.3271,1666.6022999999998,467.7426,340.6983,328.3388,14.8199,123.3554,67.9855,328.7673,1671.7078,270.4714,462.5497,380.5526,13.4843,227.6764,34.7414,402.29,1791.7658000000001
다사614474,258.8044,440.2626,418.5591,307.0765,333.3671,328.3867,57.4586,2143.915,367.8318,634.698,613.1622,213.2479,235.4997,348.4673,66.571,2479.4779,382.1138,600.8457,481.983,304.8233,322.5894,351.4115,65.5242,2509.2909
다사614475,361.4794,203.4851,0.9719,141.5487,237.7958,423.7988,32.9291,1402.0088000000003,452.4941,225.8573,1.2549,77.6467,194.1031,430.0654,35.647,1417.0685,422.4923,265.2649,0.6633,99.1991,128.6856,376.5595,28.6601,1321.5248000000001
다사614479,198.7125,450.4984,463.5314,185.904,121.5496,289.5512,395.7411,2105.4882000000002,153.2534,284.9648,289.9188,248.9249,118.2181,238.0711,262.5386,1595.8896999999997,294.0537,464.6781,445.1396,253.985,159.2327,279.6071,460.9507,2357.6469
다사614480,79.3803,473.9397,494.9657,294.1751,31.6076,295.3545,407.3109,2076.7338,114.978,438.58,625.7914,331.7884,25.6124,343.0141,362.9995,2242.7637999999997,92.4227,527.431,491.9704,430.4185,43.9359,432.1153,450.1387,2468.4325
다사614481,341.9296,304.3066,213.3851,37.413,157.4084,287.8833,274.5647,1616.8907,285.9767,453.6573,245.023,46.2357,165.9372,154.9057,148.7002,1500.4358000000002,456.7768,396.1666,259.1015,37.3091,205.7229,185.3375,143.6107,1684.0250999999998
다사614482,46.6709,2.2064,236.7079,13.7022,11.0211,457.5553,324.0801,1091.9439,31.2897,2.9732,273.4929,16.0804,13.6388,420.0848,219.25,976.8098,46.7263,3.0967,218.5981,12.6562,6.9783,272.8391,303.4915,864.3861999999999
다사614483,39.2293,361.2827,240.1482,220.9064,30.976,296.5043,227.5108,1416.5577,54.2203,521.8701,324.3467,295.8891,28.1046,367.5863,317.88,1909.8970999999997,21.6551,414.0889,180.3545,121.558,18.7985,222.0735,207.4066,1185.9351
