GID,A00,A10,A20,A30,A40,A50,A60,TOTAL,WD_A00,WD_A10,WD_A20,WD_A30,WD_A40,WD_A50,WD_A60,WD_TOTAL,HD_A00,HD_A10,HD_A20,HD_A30,HD_A40,HD_A50,HD_A60,HD_TOTAL
다사608477,98.0628,203.0661,145.9381,284.3172,56.9632,163.6251,229.846,1181.8184999999999,66.8562,170.2047,123.9175,424.2913,72.9007,215.2516,314.3744,1387.7964,55.0017,192.3153,165.9439,282.1627,44.8984,106.5568,296.534,1143.4128
다사608478,110.1215,487.6871,46.2499,193.6079,495.8637,344.6681,186.0305,1864.2287,114.2338,345.2759,29.0132,106.7104,380.4683,461.6602,101.8895,1539.2513,75.7534,264.4432,35.0874,223.033,587.4762,404.3749,194.8324,1785.0005
다사609479,45.5012,440.2311,253.5886,163.3491,407.3927,431.5017,204.7072,1946.2716,36.6647,570.0896,350.1429,186.2456,531.2566,564.1827,247.5372,2486.1193000000003,35.6296,499.4437,362.9221,81.8521,356.3819,502.0727,176.8059,2015.108
다사609480,102.5949,445.6883,202.2072,231.7973,265.829,333.2788,359.6008,1940.9963,121.1756,478.39,274.59,325.4533,149.0859,318.4625,519.1867,2186.344,126.6177,298.8026,230.4622,162.4953,233.1661,317.7505,533.1349,1902.4292999999998
다사609481,126.5301,479.6689,216.2038,306.0982,454.1861,376.78,467.5398,2427.0069000000003,169.6153,294.9027,295.1489,381.4232,417.9198,245.5329,638.6375,2443.1803,113.4727,661.5809,157.9405,226.2204,644.3542,326.048,305.5722,2435.1889
다사610481,354.7692,481.0132,401.8022,397.1331,404.7516,370.0852,7.2374,2416.7919,269.677,622.5535,485.0007,320.0704,481.8965,293.9262,4.8464,2477.9707,322.919,361.9274,306.7042,464.2624,255.8542,415.0183,10.2307,2136.9162
다사610482,345.7723,187.4548,260.4284,313.0661,363.3363,264.5316,34.5954,1769.1848999999997,202.9997,277.6403,314.819,311.2116,450.6231,312.1461,45.395,1914.8347999999999,453.4171,206.2522,189.4769,194.7873,216.5657,200.841,19.3677,1480.7079
다사611481,26.8815,318.5047,116.2682,116.746,163.8957,203.2425,34.4021,979.9407000000001,40.2232,382.2583,158.4738,156.4304,117.4438,291.6073,21.8367,1168.2735,25.3189,317.1321,83.8871,76.2258,117.163,283.7303,26.9681,930.4252999999999
다사611482,150.9792,171.8866,242.8672,399.2594,253.8215,182.7932,5.9659,1407.5729999999999,118.7113,128.8724,250.1608,560.4039,176.6302,107.1851,8.7268,1350.6905,188.1416,233.3459,285.1738,337.8329,240.1135,223.163,7.7136,1515.4843
다사611483,367.929,346.3521,362.8819,415.7412,277.6038,270.4917,118.3248,2159.3244999999997,204.0798,491.8279,194.6824,533.4377,399.2907,297.2998,130.2729,2250.8912,412.2789,458.362,270.3743,514.1567,262.8113,180.9392,157.6917,2256.6141
