GID,A00,A10,A20,A30,A40,A50,A60,TOTAL,WD_A00,WD_A10,WD_A20,WD_A30,WD_A40,WD_A50,WD_A60,WD_TOTAL,HD_A00,HD_A10,HD_A20,HD_A30,HD_A40,HD_A50,HD_A60,HD_TOTAL
다사608477,452.5985,88.8541,431.8387,272.6899,164.5767,46.2872,330.5057,1787.3508,508.5159,58.0259,581.4885,140.3105,162.9122,24.7032,308.5027,1784.4588999999999,342.009,64.5312,609.3052,296.9547,112.2941,68.1977,438.8633,1932.1552
다사608478,478.4625,73.4644,372.7786,6.0549,51.8391,482.3485,225.955,1690.9029999999998,547.7054,78.3609,332.5754,4.8154,67.1331,476.6445,246.8634,1754.0981,483.7847,41.7693,340.605,4.6781,29.7515,416.9636,277.2398,1594.792
다사609479,127.8618,319.0989,400.5467,237.5055,2.238,498.9582,340.5108,1926.7199,167.9127,364.422,373.7601,205.1363,2.9535,249.6083,196.8308,1560.6237,78.4211,439.2657,280.9171,325.4046,1.9481,560.5451,234.2679,1920.7696
다사609480,433.7344,454.4259,260.9536,298.1198,344.243,142.358,424.7903,2358.625,271.4551,317.1459,233.4929,279.5776,224.5691,153.6372,595.0956,2074.9734,262.9137,308.6834,131.8229,300.6869,202.7793,164.3919,330.189,1701.4671
다사609481,348.7759,241.2286,48.4694,315.6989,480.0693,386.1369,50.854,1871.233,227.3871,286.2894,33.7936,268.2074,329.1602,238.406,74.5829,1457.8265999999999,348.6945,157.1892,30.8326,163.2024,427.0702,231.1631,57.2644,1415.4163999999998
다사610481,337.4347,1.637,252.284,197.9036,91.5535,426.8612,287.158,1594.8319999999999,304.8908,1.8088,162.511,133.3307,96.1116,333.6942,373.0296,1405.3767,403.9646,1.0773,376.7476,109.4128,54.4164,258.7765,228.8586,1433.2538
다사610482,396.6068,74.7768,319.7432,424.9001,15.1824,486.6752,466.1374,2184.0219,482.1039,88.1797,305.4914,628.9534,20.1729,467.1593,368.2441,2360.3047,473.664,55.0874,254.0103,435.4614,18.7733,284.003,660.8831,2181.8825
다사611481,192.56,380.8394,275.5392,57.3925,324.6312,488.4585,158.6858,1878.1065999999998,239.3948,223.6954,188.4713,80.2773,306.1007,470.9946,110.7128,1619.6469,288.7448,554.9367,149.3312,40.4379,355.3362,430.081,151.763,1970.6308
다사611482,39.2931,246.0001,253.4689,101.0,327.2291,428.7133,436.8088,1832.5133,39.2309,221.7743,157.708,135.099,409.0699,301.2882,477.4937,1741.664,34.1006,361.5819,138.7191,146.2075,439.4201,396.6096,546.99,2063.6288
다사611483,431.9659,338.6334,202.5579,94.0347,79.861,89.6055,315.8125,1552.4709000000003,368.8427,398.305,251.262,105.3809,57.3339,127.2748,470.5916,1778.9908999999998,323.7679,174.5091,167.2736,61.8874,74.9486,124.5941,360.844,1287.8247000000001
다사611484,24.9156,296.4647,455.475,70.5755,406.1556,292.2643,32.7168,1578.5674999999999,33.67,202.7263,604.7939,69.8131,256.2788,251.5017,44.211,1462.9948,23.6936,193.4708,283.5445,57.3893,429.4204,356.9674,21.8054,1366.2913999999998
다사611485,238.3472,170.6774,320.3186,322.7784,434.6696,331.7806,346.0105,2164.5823,334.0866,219.9709,269.4941,203.2246,547.9093,323.678,291.8694,2190.2329,285.5723,164.4827,440.3844,328.6169,297.9887,335.1994,339.8962,2192.1406
다사612480,390.0714,328.9763,213.9656,352.8696,256.7324,308.8671,165.0393,2016.5216999999998,330.8093,336.0942,200.8418,288.5011,295.2563,208.8028,105.8546,1766.1601,370.1452,274.6057,190.895,362.7354,154.0225,343.0437,86.4701,1781.9176
다사612481,272.0117,423.1887,15.5709,96.5408,153.0302,412.6848,359.9468,1732.9739,305.3038,628.6952,15.3283,70.8161,155.5668,232.9891,372.5509,1781.2502,180.9315,634.1894,17.9681,87.3746,105.9616,410.1468,287.7429,1724.3149
다사612482,289.3017,87.3692,418.7276,172.639,197.811,19.9792,289.8044,1475.6321,230.4736,71.6396,535.8555,222.4749,99.5391,29.0853,211.8287,1400.8967,151.5562,52.3656,496.1735,242.2598,213.2943,13.4612,225.6923,1394.8029
