GID,A00,A10,A20,A30,A40,A50,A60,TOTAL,WD_A00,WD_A10,WD_A20,WD_A30,WD_A40,WD_A50,WD_A60,WD_TOTAL,HD_A00,HD_A10,HD_A20,HD_A30,HD_A40,HD_A50,HD_A60,HD_TOTAL
다사608477,367.2015,374.1293,356.8486,246.3162,404.42,235.8659,490.62,2475.4015,235.2298,264.0219,281.4629,328.972,497.2723,204.6404,264.8324,2076.4317,283.5433,205.7784,417.3049,292.276,235.6831,316.8864,638.7785,2390.2506
다사608478,218.9245,460.006,277.2284,124.1913,199.4353,252.7171,197.0438,1729.5464,301.5345,407.846,370.3244,112.5278,192.0481,224.0952,192.1116,1800.4876,307.3662,571.9529,219.8868,152.014,198.2853,315.174,158.7574,1923.4366
다사609479,256.0304,392.3608,116.5869,404.8654,475.7222,351.5474,254.6188,2251.7318999999998,379.6279,240.0399,146.6897,205.8032,634.7148,345.1303,150.3555,2102.3613,242.6014,545.8989,90.3777,301.7636,609.7867,292.23,360.879,2443.5373
다사609480,189.7727,6.0033,410.3202,460.2878,259.7932,155.5537,292.713,1774.4439,200.9092,8.7534,481.4927,438.9573,266.7638,117.9756,196.162,1711.014,215.6666,6.7476,349.5292,652.2427,218.2163,162.5371,363.1209,1968.0603999999998
다사609481,118.8881,58.783,244.5376,323.8708,229.236,140.8673,71.159,1187.3418000000001,106.8356,82.8567,303.2645,321.6417,283.3555,148.686,91.6538,1338.2938000000001,84.4671,47.7828,229.0067,420.3521,165.0531,111.692,91.4323,1149.7860999999998
다사610481,63.6905,472.6558,304.2954,405.2741,158.1371,444.0313,18.9992,1867.0833999999998,67.14,658.4033,316.471,244.1091,219.4104,284.9871,16.6718,1807.1927,42.7042,238.5131,254.4136,464.2257,228.4814,508.9033,24.2602,1761.5015
다사610482,315.8664,303.7193,186.2902,346.7442,208.1349,1.0155,304.2713,1666.0418,472.2764,170.5053,99.6932,414.1588,267.5992,0.5532,175.53,1600.3161,227.496,245.4883,99.606,406.2158,260.352,1.2102,359.0373,1599.4056
다사611481,242.0765,141.238,416.4867,339.5288,17.9996,102.1983,154.1401,1413.6680000000001,289.702,175.6021,563.2458,292.3522,16.3006,151.362,105.6789,1594.2436000000002,255.9358,156.1592,250.8818,196.8257,22.988,69.5698,192.3905,1144.7508
다사611482,374.9688,129.7124,286.5873,15.5272,85.6279,165.607,187.6059,1245.6365,470.3088,72.5066,192.223,12.443,99.1839,105.5042,162.4864,1114.6559000000002,557.0965,182.1791,320.3467,8.3638,88.8816,230.3373,226.3842,1613.5892
다사611483,389.7196,345.6701,407.458,42.6606,134.2334,193.1657,389.5055,1902.4129,317.8977,277.5421,245.1932,63.1102,190.8447,279.1264,409.7588,1783.4731000000002,550.4039,271.9122,464.3505,43.5855,79.5978,184.4943,269.0483,1863.3925
다사611484,174.4998,82.1999,263.0324,265.7171,174.7114,352.2508,104.2093,1416.6207,255.8611,58.1448,231.192,205.153,145.6691,245.0161,64.6148,1205.6509,174.4803,80.9513,299.2735,275.3407,257.0691,477.8732,112.7457,1677.7338
다사611485,120.0974,278.6145,160.0072,359.2413,79.5409,148.8198,191.0863,1337.4074,169.8041,159.7562,113.669,522.4082,86.0262,147.3032,185.4261,1384.3929999999998,160.3834,398.9507,165.3349,477.8816,80.9539,98.4519,187.5701,1569.5265
