GID,A00,A10,A20,A30,A40,A50,A60,TOTAL,WD_A00,WD_A10,WD_A20,WD_A30,WD_A40,WD_A50,WD_A60,WD_TOTAL,HD_A00,HD_A10,HD_A20,HD_A30,HD_A40,HD_A50,HD_A60,HD_TOTAL
다사608477,201.9311,380.3594,261.2948,222.6305,160.7443,414.3135,250.5136,1891.7872,229.5968,388.974,278.44,151.3198,141.7072,365.7434,198.6435,1754.4247,197.3277,374.4166,348.3882,217.4871,86.5243,327.2329,154.5807,1705.9575
다사608478,335.2477,151.3744,10.2014,241.7461,431.1657,236.2487,211.8644,1617.8484,366.3914,108.7821,9.2069,160.73,340.6665,264.0975,110.9222,1360.7966000000001,245.7133,179.9163,14.4901,197.7982,609.1748,331.6956,206.9869,1785.7752
다사609479,406.9536,346.7372,170.956,26.4067,232.3098,135.7482,285.7745,1604.886,523.6131,463.3317,196.027,19.7639,132.6,188.8491,307.652,1831.8367999999998,398.3024,405.2457,179.0349,18.7328,203.3626,162.1115,401.0639,1767.8537999999999
다사609480,442.4096,304.5288,51.3866,305.8117,248.0304,197.8893,108.7434,1658.7998000000002,311.6796,152.7853,74.0452,325.4446,271.1386,170.8379,133.0801,1439.0113,472.6278,400.5461,41.3788,321.8781,293.4846,155.1767,56.5478,1741.6399000000001
다사609481,105.2557,53.5163,35.3545,366.2875,230.6067,7.9514,399.838,1198.8101000000001,137.6036,32.9457,18.9506,481.6928,226.0891,7.6877,318.2215,1223.191,146.3651,30.8367,48.9942,441.0171,288.2493,7.8411,441.1565,1404.46
다사610481,185.0745,20.593,316.343,238.6329,422.0514,432.6515,441.1862,2056.5325,195.3086,26.3586,201.7756,295.1582,376.6652,367.6825,497.4051,1960.3537999999999,250.1773,14.8549,323.4324,262.0905,511.1578,520.8315,566.8921,2449.4365
다사610482,135.1679,69.1195,97.1611,478.0015,361.2711,361.1103,10.2422,1512.0736,123.1525,68.6098,123.2401,438.9188,442.129,267.3906,8.6046,1472.0454,143.8688,69.5222,129.506,579.4494,347.2046,208.3297,9.0526,1486.9333
다사611481,123.2277,219.7864,119.1274,272.1884,251.3063,328.9687,82.8001,1397.4049999999997,181.3726,322.1163,62.6296,174.985,276.3488,430.0654,103.1248,1550.6425000000002,84.4656,214.3813,128.2126,204.8556,280.7514,227.0579,53.2649,1192.9893
다사611482,1.0237,289.3535,331.9284,59.3588,378.8167,485.3039,321.2094,1866.9943999999998,0.9252,157.4084,234.3751,62.0159,319.4057,481.7037,210.5544,1466.3884,0.725,183.6318,404.2188,58.8495,521.5416,446.6769,236.9878,1852.6313999999998
다사611483,343.4181,218.01,464.014,474.7127,326.7139,299.2574,326.2054,2452.3315,318.6704,141.5477,634.9401,324.3668,213.4001,165.0279,404.8088,2202.7618,457.8528,206.9876,246.8526,513.1347,358.6715,395.1662,300.5038,2479.1692
다사611484,356.825,235.465,185.3972,28.2847,189.1197,30.8326,340.2228,1366.147,386.319,156.4431,187.6222,28.1492,263.2767,19.7295,181.8852,1223.4249,454.0051,255.3581,113.5478,20.1687,185.0858,40.4196,469.1269,1537.712
다사611485,358.5561,329.527,51.2153,251.2257,182.1857,371.9267,342.1756,1886.8121,444.8013,399.3273,44.4841,202.4975,93.835,461.7349,427.0998,2073.7799,327.5317,286.2679,36.122,242.2725,96.6092,521.466,283.6691,1793.9384
다사612480,275.0938,134.5886,323.5289,228.3058,233.8975,126.1614,300.0354,1621.6114,215.9677,102.7641,322.7114,179.6217,191.6165,102.0787,320.1654,1434.9254999999998,181.5909,125.3824,379.2307,297.4688,155.5345,185.8582,343.0131,1668.0786000000003
다사612481,339.2823,403.9053,166.2521,459.9327,372.9507,483.1761,57.2449,2282.7441000000003,227.1086,545.7058,221.6989,638.8998,502.964,602.0576,36.5308,2774.9655000000002,212.1332,515.336,184.9616,643.3538,324.9736,409.0798,81.7421,2371.5800999999997
다사612482,268.2455,473.4614,446.2571,247.3148,466.5159,422.0644,240.9241,2564.7832,215.7799,310.8028,327.8233,125.127,650.3251,307.125,352.4408,2289.4239,287.6675,590.9401,356.1371,165.3979,666.4359,308.3363,326.4225,2701.3372999999997
다사612483,265.2012,139.4632,256.5915,372.9555,290.1162,22.7748,383.9275,1731.0298999999998,172.6035,80.7579,210.1056,303.598,345.0833,15.3339,205.8303,1333.3125000000002,368.6788,71.2443,230.9818,462.091,324.5746,21.231,360.8917,1839.6931999999997
다사612484,250.1847,352.1194,125.7245,272.6422,267.3506,335.6754,360.7899,1964.4867000000002,306.7004,180.5415,91.7272,178.4859,155.5052,390.0661,296.2489,1599.2752,255.0203,402.5813,114.3154,198.275,294.3561,364.0117,352.4621,1981.0219
다사612485,135.8368,223.0407,29.0274,44.0343,265.2585,19.0446,465.5014,1181.7437,126.1051,290.0308,32.1438,43.2938,208.573,22.4967,502.0868,1224.73,170.9966,115.7779,42.3309,33.082,233.1031,10.7799,241.3034,847.3738
다사612486,67.3145,418.68,9.5218,358.8982,216.908,418.966,435.0132,1925.3017,78.5947,442.8232,7.8966,239.6877,324.1126,218.3319,250.9434,1562.3901,91.6224,227.8379,13.229,192.7355,114.2164,543.6986,537.5903,1720.9301
다사612487,101.6439,296.862,146.8537,423.2944,225.2755,117.8778,378.4624,1690.2696999999998,70.6123,378.7939,114.5515,626.8324,315.2519,65.0124,456.0269,2027.0813000000003,146.0806,342.9311,73.62,388.8861,306.7004,96.7082,342.293,1697.2194
다사613480,359.5191,27.2952,487.7935,279.4189,472.7987,466.2597,292.3294,2385.4145,446.3922,34.6491,559.8774,231.1688,516.5699,659.6923,240.964,2689.3136999999997,500.7569,28.5538,651.942,323.9115,447.6959,478.3415,193.1015,2624.3031
다사613481,168.0282,247.2983,158.0884,463.1347,481.4106,332.4904,59.0829,1909.5335000000002,131.1129,299.0375,133.6893,606.921,253.7751,332.0964,45.3153,1801.9475,137.6144,190.9283,137.6597,644.8743,636.2174,325.2459,37.392,2109.932
다사613482,253.8405,483.5963,77.8038,296.6757,456.3395,261.1379,87.02,1916.4136999999998,136.3958,638.2659,45.6386,256.9627,446.0924,324.0457,80.2196,1927.6207,163.6063,498.0116,93.3589,169.5621,452.0554,141.0091,52.9385,1570.5419
다사613483,384.9628,103.9863,299.2264,113.0273,215.4964,202.9932,497.9626,1817.655,333.5367,92.8051,411.444,162.1445,136.2693,222.4515,689.094,2047.7451,539.7143,63.0797,399.8925,63.4942,122.0259,171.917,679.3361,2039.4597
다사613484,332.0379,383.0635,166.3092,195.1745,61.0998,314.8037,443.8194,1896.308,352.8698,219.0108,120.6871,164.2314,43.5654,219.0061,646.0891,1765.4596999999999,226.6483,309.1688,141.7222,219.9293,57.8994,190.8449,449.3388,1595.5517
다사613485,254.3142,136.7803,349.7207,47.7071,445.0316,115.0537,53.0416,1401.6491999999998,293.5606,148.6735,182.3885,67.0359,382.0828,130.3492,76.5227,1280.6132000000002,189.6202,169.6444,385.6169,47.5171,374.4236,68.5523,47.9643,1283.3388000000002
다사613486,187.2253,347.5696,207.9449,146.2806,249.3708,418.2126,457.5246,2014.1283999999998,203.5269,434.3102,112.467,129.1332,338.6245,517.7107,639.1662,2374.9387,197.1066,490.3296,292.3086,184.108,223.4092,372.8265,412.3142,2172.4026999999996
다사613487,62.7405,414.657,121.0832,460.4705,312.8916,125.1985,86.5365,1583.5777999999998,31.7292,502.6514,92.2939,324.7378,296.4451,158.3788,78.2445,1484.4807,48.493,497.2355,117.4124,443.3127,374.6949,167.6289,99.8844,1748.6617999999999
다사613488,204.2776,75.816,123.4992,388.1296,280.9012,231.6159,33.9495,1338.1889999999999,239.9043,58.4699,167.3466,534.0285,179.4485,228.7195,19.64,1427.5573000000002,290.014,87.3593,179.759,221.1919,324.4094,338.5548,25.6857,1466.9741
다사613489,351.5985,151.0452,236.3617,72.7777,252.6391,410.8488,102.2678,1577.5388,385.5915,146.7122,328.9424,90.7934,363.5468,382.6566,73.3,1771.5429,411.1193,123.5826,166.3783,69.4366,178.7914,474.5223,116.3459,1540.1764
다사614474,303.1637,319.0925,413.6112,240.972,375.8362,299.4494,71.4799,2023.6049,284.9465,389.9481,513.0617,175.1815,443.5356,305.2226,85.5727,2197.4687,389.2797,472.3393,222.0018,252.0387,561.0003,292.321,38.2334,2227.2142
다사614475,203.0879,307.7251,165.771,32.042,368.6633,483.9017,433.5708,1994.7617999999998,229.9836,318.5499,223.3709,37.9864,537.3251,255.3911,499.7457,2102.3527000000004,291.5873,255.4848,121.186,20.8333,486.9165,394.9076,541.8221,2112.7376
다사614479,39.677,74.8696,135.3128,386.7684,391.09,200.5665,305.7862,1534.0704999999998,28.868,58.6117,151.4389,253.5398,542.7994,100.3067,290.0716,1425.6361,39.8009,79.98,77.0887,352.2043,424.4485,172.8055,252.8562,1399.1841
다사614480,39.9037,128.3128,78.8025,196.415,30.5653,148.4702,228.5255,850.9949999999999,49.1996,109.8633,109.6466,173.0708,32.9886,98.0105,252.114,824.8934,40.2795,100.4139,116.0457,178.5376,30.4245,218.3504,288.497,972.5486000000001
다사614481,130.0326,257.9774,311.6584,349.7354,335.1619,257.1787,407.2414,2048.9858,76.9455,187.8378,181.1188,378.9111,267.8623,153.3019,515.8432,1761.8206,99.3555,181.6505,467.4193,393.3901,432.2213,185.7962,291.4613,2051.2942
다사614482,45.5055,301.6224,196.3634,338.1462,426.9818,136.7329,100.4848,1545.837,43.1386,178.2699,282.5204,286.8064,588.824,103.4652,56.0332,1539.0577,48.5343,261.9073,185.5954,269.5386,586.1664,163.5328,111.835,1627.1098
다사614483,354.2787,111.575,54.9282,274.1098,323.9166,34.6556,11.8874,1165.3513,382.4006,154.6436,30.3846,196.2356,185.7844,17.8368,7.1359,974.4215,342.175,110.8618,58.6656,201.8871,210.2525,20.6036,14.718,959.1636000000001
다사614484,249.1513,280.9313,45.3612,405.4908,172.9859,293.6844,42.4884,1490.0932999999998,248.1226,291.0784,38.7631,355.472,91.1991,342.109,33.0365,1399.7806999999998,345.1781,251.6425,60.6349,304.3441,133.8832,316.5569,51.3198,1463.5595
다사614485,189.1959,115.1403,456.701,29.6404,401.8906,40.9714,221.5909,1455.1304999999998,203.7563,78.2656,683.1665,43.7832,380.666,38.4071,139.6341,1567.6788,245.9474,79.3179,658.757,40.3951,428.3061,21.3244,267.8509,1741.8988
다사614486,455.19,321.6135,94.8567,375.9074,274.2815,487.8416,419.5395,2429.2302,394.0975,229.4114,106.9757,481.1787,318.298,563.6913,514.3936,2608.0461999999998,515.6601,398.285,102.2869,213.6135,174.3252,541.9945,562.9745,2509.1397
