GID,A00,A10,A20,A30,A40,A50,A60,TOTAL,WD_A00,WD_A10,WD_A20,WD_A30,WD_A40,WD_A50,WD_A60,WD_TOTAL,HD_A00,HD_A10,HD_A20,HD_A30,HD_A40,HD_A50,HD_A60,HD_TOTAL
다사608477,37.5758,265.1766,443.5561,499.6351,239.4241,435.1533,264.0373,2184.5583,38.855,309.3653,286.8938,536.5058,324.7395,297.9223,145.5041,1939.7858,55.8684,389.2414,553.5306,525.2236,315.7581,427.7758,301.1564,2568.5543
다사608478,350.7146,255.1907,431.6417,258.8175,15.3898,358.6821,116.6384,1787.0748,524.6763,314.3468,612.6652,295.4744,21.9459,477.978,153.1264,2400.2129999999997,299.8534,290.234,451.3651,296.17,14.211,506.7331,60.5085,1919.0750999999998
다사609479,44.3668,77.187,358.3507,326.3021,190.4537,196.6474,445.8374,1639.1451000000002,33.6066,57.413,522.0013,229.1964,117.5195,195.2976,253.0407,1408.0751,45.3152,95.695,477.8542,365.459,184.8127,228.8531,548.6914,1946.6806000000001
다사609480,254.9222,209.4086,439.3292,81.0716,478.3247,482.7639,353.8195,2299.6397,221.6594,153.6237,222.4226,111.2419,450.3211,543.7665,518.2483,2221.2835,374.1125,105.198,533.9389,49.1571,574.3932,446.752,478.6913,2562.243
다사609481,44.1095,169.7126,39.8826,272.6035,406.7989,356.1974,62.2022,1351.5067,61.3667,109.478,29.7664,284.0235,467.1156,180.4501,35.8541,1168.0544,39.06,156.977,58.8615,173.9002,601.889,508.6874,74.5699,1613.945
다사610481,302.4046,115.6509,319.309,30.2835,89.9149,90.0256,50.385,997.9735000000001,409.9873,115.9163,422.6862,26.7365,53.1755,107.0161,68.1002,1203.6181000000001,351.8523,163.0972,424.9208,20.6405,46.9635,88.7364,40.8627,1137.0733999999998
다사610482,128.9504,312.4433,207.7185,88.7274,29.2403,459.1618,387.2014,1613.4431,117.5217,414.173,297.2019,122.9641,34.4791,289.6716,208.3012,1484.3126000000002,168.8504,349.5794,253.3207,88.6138,33.4788,605.1612,466.717,1965.7213000000002
다사611481,352.1801,474.522,385.0731,327.0349,442.3259,443.1504,437.9334,2862.2198,258.1337,259.1798,290.4451,310.854,272.1323,553.9142,500.9904,2445.6495,274.7333,326.3202,377.5524,177.3213,453.1305,234.9696,603.5273,2447.5546000000004
다사611482,323.9971,63.9308,347.1892,52.1609,200.1696,63.1246,302.647,1353.2192,167.7444,59.8084,513.5173,70.3333,155.8684,37.8742,295.1186,1300.2646,317.9342,55.72,322.7871,74.5747,254.3829,39.9045,368.4208,1433.7242
다사611483,304.3712,460.5874,85.5084,175.4111,493.2346,384.9212,197.7649,2101.7988,227.1867,241.4508,47.6967,194.2397,273.3894,567.9768,229.3192,1781.2593,161.5159,367.3502,44.3651,196.5198,345.5834,310.6835,250.4277,1676.4455999999998
다사611484,219.3459,285.6674,324.2817,280.1226,189.7941,338.4898,386.3923,2024.0938,194.4058,347.5713,362.5431,274.8078,132.4307,289.5076,258.099,1859.3652999999997,286.1324,392.4502,301.173,278.201,131.6223,501.6821,502.1569,2393.4179
다사611485,140.098,457.6506,486.9697,241.7642,40.7569,492.9786,391.0969,2251.3149000000003,206.2292,557.8986,514.3517,247.8259,56.0838,378.6175,523.7855,2484.7922,132.1486,295.3063,658.5512,144.4147,50.4543,542.083,543.5852,2366.5433000000003
다사612480,304.9978,160.67,368.0741,223.8569,243.7587,410.1017,90.1304,1801.5896,393.9614,208.8682,510.5755,142.0006,343.2185,264.7209,87.7347,1951.0798,267.8637,180.9275,547.3878,204.4598,341.635,330.1785,113.1195,1985.5718
다사612481,367.7999,234.6669,334.7708,227.2544,407.2892,165.0035,375.5974,2112.3821,238.3533,328.6785,359.1162,301.243,235.1829,242.7157,375.1029,2080.3925,445.4055,170.2759,358.377,321.2699,449.1577,192.8889,369.955,2307.3299
다사612482,303.1879,40.0726,285.0015,23.9133,160.6299,314.8384,244.2631,1371.9067,399.7261,50.4295,290.2158,27.6718,149.7996,188.0426,230.1882,1336.0736,257.9115,23.2515,377.4764,33.5376,204.8051,469.9283,240.836,1607.7464
다사612483,22.8802,45.8979,412.7648,109.4949,219.5314,359.7619,163.8919,1334.223,14.1204,65.4834,296.4721,129.4742,159.6846,509.064,132.5152,1306.8139,17.5953,46.8842,393.7231,104.0226,151.1042,197.0169,98.4982,1008.8444999999999
다사612484,2.7553,157.6498,362.4877,146.2659,387.7082,225.3395,478.2004,1760.4068,2.6949,101.7328,271.0021,170.9135,225.4524,233.216,549.6957,1554.7074,3.132,173.2135,356.4172,216.3692,222.5399,267.7425,330.5744,1569.9886999999999
다사612485,162.7478,317.3359,409.9423,248.6382,347.069,63.2012,185.5911,1734.5255000000002,101.1916,315.9198,502.6584,125.6636,202.3152,49.0784,124.5003,1421.3273000000002,166.356,319.2147,559.8813,132.113,278.321,54.2137,141.2971,1651.3968
다사612486,167.5949,473.599,8.3988,341.7333,432.5815,62.6223,401.2066,1887.7364,215.2912,674.2033,4.2043,458.3638,254.7212,41.4639,266.6452,1914.8928999999998,123.3952,663.6765,5.5035,440.5598,637.5759,86.3097,363.41,2320.4306
다사612487,121.149,21.5389,29.5226,466.0941,12.8124,163.5138,248.7273,1063.3581000000001,126.5664,13.9993,37.9209,528.4493,10.5824,157.521,230.5692,1105.6084999999998,116.9961,16.0199,19.2619,300.9081,7.9335,204.4953,367.7568,1033.3716
다사613480,173.9016,385.4918,394.4666,415.5494,340.7428,187.9796,43.3246,1941.4564,163.274,496.6852,532.9575,302.3497,330.0824,164.3259,50.912,2040.5867,234.1355,426.6421,254.6622,573.3708,387.6939,197.0615,36.8022,2110.3682
다사613481,141.7436,276.9867,169.4604,75.3448,471.202,258.1394,391.0436,1783.9204999999997,155.4798,193.4279,95.1561,99.822,623.2277,328.1324,356.6327,1851.8786,156.5414,393.0158,105.5912,93.15,689.1313,217.2365,198.1093,1852.7755
다사613482,145.2318,52.9238,151.0127,203.6698,28.7357,169.9513,115.9607,867.4857999999998,171.714,35.2132,87.1904,280.4924,27.9944,189.3196,91.7945,883.7185,96.022,62.4499,109.8444,303.3112,21.8674,124.9424,120.0844,838.5217
다사613483,461.6714,352.8063,203.1537,497.6683,181.7226,78.7451,149.5187,1925.2861000000003,278.5057,387.3297,296.8213,321.381,160.0093,66.0626,121.3893,1631.4988999999998,263.0323,413.667,130.2337,520.6513,224.2286,85.52,127.4165,1764.7494
다사613484,432.2877,104.2638,330.3769,27.1201,206.4415,328.5778,56.4377,1485.5055,506.0533,81.2878,292.4537,32.3693,214.4894,454.4719,68.2488,1649.3742,621.9963,151.6922,308.6691,36.6482,285.7156,305.5201,62.5229,1772.7644
다사613485,156.7644,344.3084,151.514,463.7581,123.4113,482.9577,172.2375,1894.9514,104.7195,444.0725,177.2234,387.3203,62.8818,428.4617,126.9903,1731.6695000000002,121.815,482.1368,191.8316,414.7367,133.1362,509.0529,125.5409,1978.2500999999997
다사613486,474.8676,9.5004,272.072,216.9585,57.675,156.6461,223.2927,1411.0122999999999,649.406,12.7218,187.7284,155.5866,61.4501,211.2651,113.4951,1391.6531,583.4289,9.2908,302.5251,157.447,59.9582,169.2954,273.2411,1555.1865
다사613487,308.7303,283.6645,405.535,309.3507,150.5795,118.8379,250.5962,1827.2941,178.6027,408.9067,605.904,222.3384,221.7395,130.5277,299.2099,2067.2289,400.2091,222.3344,488.5647,185.068,203.9415,115.8366,250.4843,1866.4386000000002
다사613488,484.1377,37.4571,383.3374,416.6398,296.092,449.0084,139.4624,2206.1348,438.9307,35.3745,521.6026,262.6736,409.5991,308.5639,193.0382,2169.7826,451.524,30.7691,403.2723,291.5477,326.739,266.5598,88.879,1859.2909
다사613489,366.7976,262.1476,289.7316,67.0353,478.2718,332.3854,46.4879,1842.8572,446.7004,139.8939,149.5925,58.0134,714.8677,176.5741,34.376,1720.018,425.8898,157.3847,239.909,68.1765,306.8893,467.686,34.7479,1700.6832
다사614474,242.3088,203.0986,385.4042,354.0827,193.432,10.8924,205.1087,1594.3274,278.7701,249.418,303.908,374.4268,232.7782,15.2235,136.4969,1591.0215000000003,178.8755,240.9838,359.2281,467.9779,211.0184,12.533,224.658,1695.2746999999995
다사614475,190.0738,179.7424,259.0937,270.2914,425.3352,114.2626,251.6848,1690.4839,140.9353,118.0594,260.1697,294.983,506.6841,131.3124,202.1746,1654.3185,144.6012,266.383,219.0325,153.8893,502.243,67.2541,292.4456,1645.8487
다사614479,226.643,50.9218,325.5502,400.0633,115.3896,407.5531,458.1029,1984.2239,269.4748,26.3302,484.4819,349.2658,59.2351,437.6249,606.5729,2232.9856000000004,326.0761,37.5355,189.8755,260.0398,170.6872,318.4198,681.1521,1983.786
다사614480,444.4946,378.1052,205.3104,3.8703,308.8188,272.8783,53.651,1667.1286000000002,662.6654,238.3955,107.257,2.4042,236.9496,237.2942,68.2359,1553.2017999999998,398.9252,359.4143,266.0957,2.1069,434.3232,313.9746,70.7072,1845.5471000000002
다사614481,265.4263,360.5655,49.29,155.5167,376.8696,268.9662,25.8783,1502.5126,334.4,535.0932,25.0403,157.3542,289.0381,192.7693,19.5357,1553.2307999999998,315.9837,402.1609,30.0241,148.7243,354.5392,353.7171,28.6349,1633.7842
