GID,A00,A10,A20,A30,A40,A50,A60,TOTAL,WD_A00,WD_A10,WD_A20,WD_A30,WD_A40,WD_A50,WD_A60,WD_TOTAL,HD_A00,HD_A10,HD_A20,HD_A30,HD_A40,HD_A50,HD_A60,HD_TOTAL
다사608477,197.8942,206.8754,170.0287,449.0458,329.6182,426.5054,307.2296,2087.1973000000003,206.0353,190.5165,212.4297,262.6215,407.1725,541.8245,255.3836,2075.9836,189.6275,128.1946,151.2789,355.7981,253.1076,639.5117,424.6064,2142.1248
다사608478,259.1869,322.6226,314.8269,278.128,463.3688,196.7522,456.9232,2291.8086,261.2853,183.5192,422.0852,296.3933,639.7434,171.5018,448.1761,2422.7043,131.8023,302.4862,456.7191,208.7787,420.4686,170.9597,608.3336,2299.5481999999997
다사609479,205.7689,1.5833,100.9615,212.2705,492.4287,249.1253,317.0064,1579.1445999999999,154.9067,1.7481,54.5099,219.5336,389.0406,305.4615,346.2335,1471.4339000000002,200.9075,1.7777,117.6621,300.1151,570.2328,149.2357,473.6284,1813.5593000000001
다사609480,418.6052,82.211,469.9638,477.2945,205.8401,228.4152,156.8783,2039.2081,213.0036,120.5399,484.7184,249.051,271.6074,124.4775,168.4988,1631.8965999999998,528.7037,65.0944,372.7727,572.5446,129.7809,297.1762,146.6487,2112.7212
다사609481,471.3371,424.9294,451.6716,401.232,27.9673,288.3745,400.63,2466.1419,660.1602,370.7405,298.6657,454.4989,37.4391,164.7644,201.9943,2188.2631,329.4657,303.2125,373.6166,260.6302,32.1631,216.422,320.2258,1835.7359000000001
다사610481,315.8232,385.8903,187.0146,320.3729,423.3584,268.1163,202.9353,2103.5110000000004,402.6148,491.573,144.6607,447.517,359.415,194.8049,301.0782,2341.6636,271.5643,490.1514,269.1282,166.9977,318.291,313.7691,200.6489,2030.5505999999996
다사610482,45.4869,390.3351,209.2336,218.4302,314.8176,26.2958,47.7206,1252.3198000000002,31.0706,496.2252,265.3731,303.8662,469.284,36.5289,40.411,1642.7590000000002,41.4859,207.543,174.907,247.6924,176.2581,38.7247,41.9452,928.5563000000001
다사611481,360.1275,321.6515,159.5164,330.0677,87.0856,236.892,359.8135,1855.1542,277.8521,307.8662,214.6711,239.835,118.1787,182.2164,521.7427,1862.3622,466.7345,211.8613,136.6008,353.6775,101.0333,353.119,340.5793,1963.6057
다사611482,26.7481,399.089,40.0888,307.5667,114.5428,349.7698,436.0165,1673.8217,24.9001,383.4276,47.1902,427.7147,85.3267,405.5104,547.2991,1921.3688,28.6783,436.4477,54.0976,362.9779,63.4794,407.6753,408.6117,1761.9679
다사611483,159.0379,108.4161,383.8758,108.5333,356.0079,356.2619,281.2805,1753.4134000000001,112.7689,142.7031,522.3555,80.3831,421.6528,290.4885,162.5735,1732.9253999999999,145.0986,148.5608,322.5592,144.0154,511.421,419.2449,420.5382,2111.4381
다사611484,380.1522,299.1054,387.4147,313.3997,453.2933,388.8116,222.5314,2444.7083,345.9014,276.5581,213.5146,174.1715,489.8443,427.0283,294.4165,2221.4347,296.1886,283.1737,262.5353,158.2931,474.6777,222.422,301.8474,1999.1378
다사611485,180.9937,358.2254,383.5347,50.5135,93.5257,237.6405,379.5487,1683.9822,177.7005,304.6065,492.7725,53.8461,82.1367,123.7714,401.1597,1635.9934,184.9717,525.4215,194.4043,53.4228,95.8812,231.058,355.1889,1640.3483999999999
다사612480,255.4031,270.5598,77.2822,53.4198,70.1672,397.4062,406.1214,1530.3597,146.7233,273.9337,94.3692,42.2418,41.1092,231.1229,350.9587,1180.4587999999999,239.643,182.9496,91.4353,26.8925,81.2285,306.008,327.7937,1255.9506000000001
다사612481,321.0937,496.6116,380.5878,163.1792,203.2033,356.3243,198.4749,2119.4748,184.3266,701.0502,408.5378,209.1439,175.0148,405.6745,172.917,2256.6648,198.1546,652.1619,431.6979,92.0607,243.9998,386.9488,186.7006,2191.7243000000003
다사612482,380.6038,275.2421,139.3372,153.5875,18.9925,243.8059,497.983,1709.552,248.8241,411.7334,145.7097,162.022,25.9129,251.8398,529.8953,1775.9371999999998,342.1219,327.2098,91.1947,158.8515,26.7687,180.2691,260.6203,1387.036
다사612483,468.3395,484.6802,468.3198,237.6443,437.3016,313.7113,101.298,2511.2946999999995,614.8747,376.3842,350.2998,185.704,586.2473,223.902,70.371,2407.7830000000004,289.1094,322.4207,632.7246,305.3179,470.9429,417.0359,103.1528,2540.7041999999997
다사612484,248.4562,123.9308,331.0894,77.7684,199.652,409.5779,203.3866,1593.8613,160.6961,109.4334,344.5925,52.0117,229.968,555.2769,268.4541,1720.4326999999998,202.7355,157.383,393.6506,90.497,133.6393,447.66,221.9556,1647.521
다사612485,14.4168,484.9094,207.2612,487.7485,266.7676,490.6667,207.4058,2159.1760000000004,19.8272,297.4294,176.9995,365.475,216.8663,702.0892,218.9757,1997.6623,14.6552,711.4533,188.3301,435.0783,249.3821,452.1108,197.4935,2248.5033000000003
다사612486,321.1798,390.0544,227.992,72.2742,381.0971,144.573,198.4766,1735.6471,225.2448,299.3451,173.361,45.8298,392.3704,99.6745,201.3181,1437.1437,224.9472,556.4042,320.4841,103.4735,435.815,194.4337,282.4791,2118.0368000000003
다사612487,180.6176,218.985,339.5599,130.9082,276.4495,107.6381,396.073,1650.2313,90.7859,296.1983,457.841,152.2729,228.8737,81.7417,569.2083,1876.9218,251.6055,174.2422,219.6259,196.3318,324.7385,58.3473,239.6552,1464.5463999999997
다사613480,407.9615,18.187,408.1933,339.2806,145.4985,116.0603,6.0705,1441.2517,555.4667,24.8053,243.0884,298.6068,101.0686,115.5226,7.4092,1345.9676000000002,392.2878,21.1732,467.2297,406.7358,75.8024,117.1503,7.8495,1488.2287000000001
다사613481,174.6058,337.3237,381.2872,231.2011,16.4369,477.7101,458.7852,2077.35,134.7726,329.5739,354.5,315.2639,23.7512,326.4007,626.7395,2111.0018,213.378,373.5292,478.6922,204.0713,13.1189,346.6975,490.4173,2119.9044
다사613482,459.0801,188.7202,322.1384,191.9723,213.6525,119.3927,319.2918,1814.2479999999998,622.1201,145.0315,340.179,191.3962,258.6257,101.8151,216.211,1875.3785999999998,282.984,238.2573,404.2628,174.2936,298.9829,167.3222,444.3816,2010.4843999999998
다사613483,330.2285,186.4933,40.2587,10.2085,356.9133,86.8427,341.686,1352.631,228.7656,267.8743,28.8915,12.3461,195.2097,49.7216,469.4663,1252.2750999999998,475.9958,256.9439,32.7056,6.2812,249.9558,73.6371,369.9794,1465.4987999999998
다사613484,164.9649,179.4155,88.797,145.4508,341.8067,145.9421,224.9687,1291.3456999999999,155.7954,224.9789,73.0905,76.6081,466.2525,201.4591,244.2854,1442.4699,239.6586,212.6109,105.6127,84.4989,432.3999,134.2998,142.4833,1351.5641
다사613485,473.4485,198.5182,19.9254,366.9465,331.0476,146.2627,461.7861,1997.935,599.3695,178.755,20.8742,299.9433,342.1323,75.7474,567.1665,2083.9882,268.4849,274.4944,21.7769,424.5933,479.0658,125.1831,290.4714,1884.0697999999998
다사613486,357.913,184.1617,443.8003,181.8503,251.5296,145.6832,430.2251,1995.1632,229.9772,235.759,553.2606,113.065,153.0739,212.3626,586.332,2083.8303,229.6519,234.6647,299.74,171.9963,288.6708,161.4028,519.2067,1905.3332
다사613487,144.2859,29.6173,146.8807,369.2405,385.0226,470.0418,478.744,2023.8328000000001,142.8683,36.5488,107.5929,532.0056,198.905,435.4711,355.3769,1808.7685999999999,130.2858,22.2963,171.9315,359.5578,551.3479,297.2625,506.9188,2039.6006
다사613488,221.5267,405.3753,311.7162,430.5091,386.4148,58.5437,31.9307,1846.0165000000002,239.5659,240.3498,243.4137,269.0499,549.2559,45.0445,35.7247,1622.4044000000001,208.3608,298.0534,423.1986,216.998,352.8288,73.5612,43.6845,1616.6853000000003
다사613489,285.1211,448.35,180.5363,478.8204,161.9049,269.993,284.1008,2108.8265,335.0261,559.9631,229.3868,240.3518,89.3542,352.2242,185.6578,1991.964,200.8627,370.1791,113.3784,592.9982,178.2608,381.3457,402.2001,2239.2250000000004
다사614474,43.5693,163.2291,497.9996,368.4171,405.9677,80.5611,314.3985,1874.1423999999997,48.6219,144.7156,501.8057,271.6749,445.688,44.4689,339.3018,1796.2768,28.9647,154.9566,253.6078,536.7769,373.9772,78.7089,239.1387,1666.1308
다사614475,434.9989,318.1465,218.532,377.2274,172.1477,79.3019,174.6285,1774.9829,352.6081,463.4709,318.7975,397.339,106.7461,83.0607,189.0808,1911.1030999999998,332.8661,394.1359,149.0352,539.3397,111.9499,75.7139,140.1535,1743.1942
다사614479,325.9451,371.2602,29.5251,146.5449,280.067,382.1085,170.4707,1705.9215000000002,259.1944,388.9341,39.5806,162.4851,372.6429,462.8009,108.8807,1794.5186999999999,293.2546,541.3605,36.4429,163.9148,332.6356,313.1352,198.1399,1878.8835
다사614480,173.6428,277.6707,109.7788,469.6494,186.8253,203.7142,280.4409,1701.7221,207.2034,259.248,63.8076,502.2257,207.7299,211.9004,364.0461,1816.1611,110.1392,259.7197,109.661,275.7996,237.1944,137.7406,250.4179,1380.6724
다사614481,226.4681,282.2863,326.9849,63.8554,410.0109,120.6701,450.533,1880.8087,262.1632,323.5306,284.1776,89.0174,467.424,108.0929,552.0794,2086.4851,269.3187,207.499,190.2126,72.0126,237.9417,98.4628,655.3818,1730.8291999999997
다사614482,426.5025,360.0162,195.6263,472.5553,443.8788,487.5996,66.267,2452.4456999999998,303.8152,220.3797,191.1318,299.0943,461.8428,710.9174,37.0114,2224.1926,499.1583,415.9689,103.3079,658.4842,431.0816,248.7547,47.6017,2404.3573
다사614483,397.0188,45.8746,144.174,461.1214,311.9231,103.9302,292.6159,1756.658,348.9508,45.3372,102.6522,428.7405,372.0985,125.8011,237.1518,1660.7321,382.8759,34.5154,153.3626,444.4908,284.7915,59.776,224.7695,1584.5817000000002
다사614484,154.3857,285.7366,318.6221,402.328,8.0674,105.7663,122.5567,1397.4628,162.0148,348.3231,469.8709,303.765,6.2986,66.1207,154.5571,1510.9502,180.2144,296.7835,241.8583,332.3287,9.4322,121.6062,114.1445,1296.3678
다사614485,466.0527,276.1105,336.771,430.1731,3.9791,128.6605,169.1474,1810.8943,466.8084,150.7297,264.8022,486.2884,3.6962,121.8143,212.9536,1707.0928000000004,318.2627,188.7303,309.9425,401.2391,2.147,120.6833,137.497,1478.5019
다사614486,458.2097,149.7212,87.4984,144.3475,180.3716,242.3598,79.6262,1342.1344,481.4081,90.445,105.23,76.459,143.0009,347.5333,69.3698,1313.4461000000001,450.7704,148.8729,57.9334,207.3169,230.3704,350.6248,46.1317,1492.0204999999999
다사614487,132.2974,97.4091,243.6654,113.5828,263.3545,395.9067,434.1281,1680.344,77.6022,141.9364,346.4672,133.9792,223.3988,382.168,483.9699,1789.5216999999998,187.0014,97.222,154.3461,98.8593,307.9886,498.7659,472.0319,1816.2151999999999
다사614488,36.5357,16.1577,386.6896,307.3522,186.3287,491.023,330.2929,1754.3798,27.918,14.8961,254.1392,414.3471,131.4667,523.6624,360.4502,1726.8797000000002,33.5032,16.2175,205.415,400.3391,258.6587,678.5779,219.7867,1812.4980999999998
다사614489,441.6127,92.8981,51.964,227.9478,376.6438,22.5809,183.1358,1396.7830999999999,324.5723,79.2771,68.9057,323.9576,539.2641,29.882,139.4317,1505.2905,500.379,135.333,43.7023,139.6498,414.3391,11.6405,244.2862,1489.3299
다사614490,18.1526,416.469,32.7323,17.8674,43.2302,473.654,186.9581,1189.0636,11.5389,619.5446,26.395,13.0734,49.7106,383.8826,254.4958,1358.6408999999999,13.832,306.2975,29.3052,8.9529,27.513,382.0544,253.8913,1021.8462999999999
다사614491,284.6088,323.6689,183.544,85.3342,83.0698,42.6786,38.7928,1041.6970999999999,176.7156,269.6566,241.3725,75.2421,62.6007,46.6201,51.1877,923.3952999999998,289.5128,298.1962,173.0053,110.0195,53.203,49.0475,35.4715,1008.4558000000001
다사615474,127.9856,309.6488,41.1799,14.4289,177.2771,66.4601,93.1686,830.149,165.1961,437.2281,55.6596,20.7578,171.191,48.7574,68.3551,967.1450999999998,81.3651,346.3882,52.0432,7.5892,258.5332,85.6022,126.9373,958.4584
다사615475,447.5783,107.3574,225.4747,340.8579,339.0539,51.1022,387.3787,1898.8031,584.9206,128.7201,266.4593,439.121,451.3167,46.487,195.6472,2112.6719000000003,428.1753,72.4671,146.5268,211.742,350.2875,35.5861,453.2551,1698.0399
다사615476,275.8043,19.1614,431.7737,310.6981,132.6935,173.2005,475.2585,1818.5900000000001,198.2611,18.6009,453.9328,160.071,87.9502,129.8034,563.3925,1612.0119,268.1938,26.9699,338.816,436.5285,91.1412,237.7091,453.9669,1853.3254000000002
다사615477,456.5919,114.8183,343.0808,401.6496,239.9071,62.806,143.9094,1762.7631000000001,582.9209,120.5062,324.5088,331.4967,310.7993,89.0726,163.9599,1923.2643999999998,449.0203,89.4761,313.5419,275.3334,346.077,42.1377,120.5573,1636.1436999999999
다사615479,99.1331,80.7432,480.6082,489.5543,358.3424,275.6405,415.9392,2199.9609,72.6997,62.0541,358.2813,435.9882,306.5905,278.3949,588.2647,2102.2734,77.195,87.4757,486.5499,468.6612,347.0161,183.915,217.7239,1868.5368
다사615480,477.2164,60.6208,435.5061,486.767,273.2002,99.8722,434.0396,2267.2223,404.2818,64.3266,390.589,402.0864,143.7392,139.7603,590.4273,2135.2106,623.0702,75.108,399.9869,482.7958,251.9295,51.291,399.6501,2283.8315
다사615481,122.7273,440.726,183.6194,492.4879,439.3305,404.8463,411.7403,2495.4777,84.6206,235.5545,100.4498,622.7254,656.9193,421.808,292.8543,2414.9319,98.0618,290.4963,148.0586,492.2626,580.6786,203.7916,408.954,2222.3035
다사615482,456.3215,431.1317,379.1381,450.5351,119.3328,60.0608,189.461,2085.9809999999998,454.8311,567.8963,440.504,355.2133,70.4183,35.5599,115.8876,2040.3105,520.254,580.2515,233.7626,472.3489,96.1139,72.7539,207.4943,2182.9791
다사615483,220.031,41.0286,62.3673,478.9346,263.7958,123.1149,275.4143,1464.6864999999998,226.0515,26.7811,56.228,443.8662,161.8526,181.5975,287.9978,1384.3746999999998,199.6218,52.0431,81.4275,490.925,246.3471,68.5075,174.4764,1313.3483999999999
다사615484,193.0552,83.5078,292.1398,232.4374,92.861,28.9067,133.3928,1056.3007,258.1534,88.5879,395.1165,228.0745,80.1823,41.633,165.1346,1256.8822,144.035,78.8268,201.0601,119.9668,135.2553,21.1732,172.7451,873.0623
다사615485,408.4682,310.1656,125.24,261.1149,3.7489,177.6907,97.87,1384.2983,427.6853,348.1643,65.5854,364.0563,3.9592,220.8671,58.4654,1488.7830000000001,435.5604,341.3553,73.5382,371.8253,2.2515,177.041,126.0574,1527.6290999999999
다사615486,317.8093,400.2474,281.3177,339.5479,305.7543,292.0311,154.6893,2091.397,199.9448,425.181,263.1878,351.2612,227.41,277.3358,164.3908,1908.7114000000001,172.0517,425.8047,213.3225,463.3735,314.9832,171.4614,115.5948,1876.5918000000001
다사615487,13.3734,424.1682,467.9815,6.7015,364.3022,327.8814,19.6172,1624.0254,11.4843,602.5547,335.5656,8.7107,454.3744,185.7669,15.0566,1613.5131999999999,17.6883,575.8446,589.2419,6.8048,323.3571,367.5448,28.9632,1909.4446999999998
다사615488,176.9766,365.2049,105.2916,41.4907,65.6354,284.9337,441.7429,1481.2758,243.3831,428.1693,102.528,43.8028,84.2727,410.8066,444.7347,1757.6972,228.5518,235.87,91.8981,41.4327,37.5513,187.1522,337.7231,1160.1791999999998
다사615489,178.286,299.244,11.9586,374.9596,89.865,166.6954,435.9154,1556.924,198.3823,180.0405,14.084,276.0285,71.0309,170.6708,523.8045,1434.0414999999998,108.8664,193.5263,8.1468,509.4463,114.0721,248.9234,531.2102,1714.1915
다사615490,471.994,294.6888,13.0801,46.8841,151.8248,301.5026,239.2876,1519.2620000000002,467.3441,208.7204,13.8103,47.2798,116.2066,226.5059,250.5061,1330.3732,587.6712,208.3314,18.5699,60.1822,208.2265,363.0764,252.507,1698.5646
다사615491,358.3619,405.1243,81.5282,450.7674,475.9592,240.717,341.0343,2353.4923,244.6254,249.5554,99.0887,454.7201,481.6627,150.0549,492.2102,2171.9174,406.1889,397.2438,100.2319,279.1528,309.8902,228.663,391.1562,2112.5268
다사615492,492.0578,367.8727,372.7793,447.8279,304.2965,163.0023,278.2336,2426.0701,525.6417,287.6985,446.6818,516.6263,321.2234,203.3014,149.2482,2450.4213,692.8958,480.093,364.7121,380.8339,171.0367,181.5377,237.998,2509.1072
다사615493,255.1538,388.2045,245.4525,78.9156,491.5583,371.2777,21.0687,1851.6310999999998,175.8823,349.0891,327.2668,110.7036,670.2772,551.9218,20.9665,2206.1072999999997,163.0971,534.7922,150.1521,65.9984,448.2292,405.7198,15.1946,1783.1834000000001
다사615494,263.7074,490.9617,293.0316,465.3651,49.723,273.8678,150.7487,1987.4053000000001,293.3941,352.0567,278.898,607.2084,43.2763,352.862,80.6937,2008.3892,199.246,571.11,425.2964,638.1144,28.8628,390.9764,193.8205,2447.4264999999996
다사616477,258.7196,336.8508,134.0121,234.2287,181.9423,215.6771,197.9316,1559.3622,165.5687,292.5476,96.976,194.5972,230.5135,249.4812,280.6687,1510.3528999999999,139.8763,392.4091,172.016,170.5103,213.5619,115.2592,116.6402,1320.273
다사616478,171.7527,248.9779,107.4207,18.0078,48.4283,280.9641,456.6479,1332.1994,218.8633,224.7961,112.2347,13.093,40.6017,145.3897,301.7843,1056.7628,205.9663,259.7072,131.6143,14.3762,25.9135,245.2258,548.7809,1431.5842
다사616479,348.6837,338.3559,353.283,259.7716,225.9749,389.6291,282.4285,2198.1267,262.9582,297.0127,197.6099,371.4452,134.1152,338.4048,171.6689,1773.2149,441.7721,255.6961,344.6257,234.2452,290.7531,237.8881,422.6922,2227.6725
다사616480,260.7875,309.9541,319.9933,134.1675,493.1352,66.5088,391.8454,1976.3917999999999,188.1264,213.7818,218.6438,158.9592,295.8612,78.0187,236.436,1389.8271,298.3954,458.5821,479.6147,120.6636,498.535,60.9156,225.9823,2142.6887
다사616481,495.0176,147.0628,441.1584,2.1825,175.5029,171.5394,137.5939,1570.0575000000001,637.8126,219.701,298.2726,2.9034,215.2301,89.9308,186.7756,1650.6261,737.1502,86.3006,534.3017,2.6622,192.9326,93.579,192.786,1839.7123000000001
다사616482,143.9247,273.6885,123.1008,146.5116,213.1825,209.1299,358.2384,1467.7764,183.4342,231.2026,133.9293,75.8775,151.0666,303.3015,186.4712,1265.2829,109.9532,185.0567,154.5161,160.9334,261.8331,289.0682,204.012,1365.3727
다사616483,13.1016,7.453,70.7148,150.5778,190.0733,449.7589,234.0887,1115.7681,7.7309,8.2153,52.0384,189.2189,191.6591,311.8796,277.0645,1037.8066999999999,8.8665,6.6243,46.9396,103.0341,173.193,285.676,273.028,897.3615
다사616484,204.9274,119.295,358.3269,424.6774,26.1997,495.5356,174.8569,1803.8188999999998,238.4485,166.5377,293.7657,564.3705,24.7146,420.8537,257.2995,1965.9902000000002,189.1501,70.5819,504.2317,386.1741,32.0677,685.8669,111.2697,1979.3421
다사616485,223.0204,296.5352,171.0843,4.7463,463.178,24.7245,161.0935,1344.3821999999998,115.195,267.8504,237.3673,2.4907,232.3481,14.3086,204.0846,1073.6446999999998,298.2506,335.9072,98.0472,4.0614,336.7806,19.3232,165.5347,1257.9049
다사616486,344.4452,233.1632,360.2403,263.7285,282.5725,220.4213,408.6699,2113.2409,345.3565,192.9252,235.2468,258.7969,263.6583,278.1864,519.3521,2093.5222,432.5351,336.3008,350.4688,291.2447,174.0615,265.8241,251.7853,2102.2203
다사616487,407.1087,395.4133,483.7783,277.2505,126.1122,324.9885,192.232,2206.8835,547.7495,309.2121,362.3678,280.1669,78.5843,365.7459,155.8011,2099.6276000000003,227.3583,432.4165,535.1653,309.7128,181.1887,466.2525,141.1009,2293.1949999999997
다사616488,54.5334,210.6587,131.6323,93.8088,101.7833,466.4702,15.5281,1074.4148,75.2029,292.3501,159.7882,47.7225,74.7246,555.4728,12.9556,1218.2167,31.4726,237.5815,196.1396,134.3745,117.2566,685.4274,9.6861,1411.9383
다사616489,251.5848,245.1028,158.1419,96.6865,49.0184,222.5158,114.1561,1137.2063,256.6792,219.1979,223.6028,74.1719,69.5202,162.7919,116.0784,1122.0423000000003,133.0311,269.8081,209.2996,121.1346,58.2473,163.8816,143.2636,1098.6659
다사616490,489.9315,441.7554,384.6518,82.0703,164.3025,455.7207,52.1858,2070.6180000000004,426.6381,458.9532,411.5525,67.3088,180.3508,508.7767,61.5798,2115.1599,482.3507,396.5621,245.5607,59.2322,86.6366,253.628,69.5979,1593.5682
다사616491,404.3839,401.8944,31.4569,8.2619,27.3744,166.744,218.9354,1259.0509,585.0829,501.3873,20.5855,9.3393,35.9546,166.5242,114.4077,1433.2815,519.4963,208.2032,26.5735,9.9011,40.9265,201.1071,281.2228,1287.4305000000002
