GID,A00,A10,A20,A30,A40,A50,A60,TOTAL,WD_A00,WD_A10,WD_A20,WD_A30,WD_A40,WD_A50,WD_A60,WD_TOTAL,HD_A00,HD_A10,HD_A20,HD_A30,HD_A40,HD_A50,HD_A60,HD_TOTAL
다사608477,317.328,69.842,75.218,181.664,186.7582,39.4244,494.4746,1364.7091999999998,429.8335,93.2569,93.6165,98.1631,164.0854,58.3993,348.9072,1286.2619,259.2349,98.4547,94.9555,152.804,178.2453,30.5076,497.6943,1311.8962999999999
다사608478,494.026,2.4275,400.8629,49.4527,462.511,427.1505,374.5551,2210.9857,633.1719,1.3005,480.1084,67.001,233.4022,243.2844,258.0302,1916.2986,288.5981,3.385,522.1492,57.1109,278.7118,534.7584,266.8904,1951.6038
다사609479,457.2594,14.7139,129.6574,365.3202,22.3562,272.4459,65.4844,1327.2374,576.9228,20.2363,71.856,384.5734,28.0404,190.4086,73.2518,1345.2893000000001,309.3729,20.9953,91.892,491.2643,20.7722,199.8408,42.1276,1176.2651
다사609480,475.9654,234.7115,285.8464,32.7316,382.981,42.1938,468.5182,1922.9479,273.3479,338.4532,352.0143,24.882,253.4862,59.1845,599.4275,1900.7956,394.6818,284.4043,313.8183,42.7065,543.3052,32.2206,464.356,2075.4927
다사609481,287.7408,208.8899,227.3544,478.4141,39.5417,424.4625,345.2582,2011.6616000000001,355.2411,176.0455,176.4554,327.5575,52.4725,579.4397,420.4605,2087.6722000000004,360.4915,106.4044,152.963,655.0681,42.7011,607.4885,375.58,2300.6965999999998
다사610481,313.1537,487.0483,173.7458,101.7463,308.9697,106.9973,93.485,1585.1460999999997,198.978,630.9738,235.7681,122.0236,443.6527,138.6897,124.7159,1894.8018,383.4294,636.9365,240.8133,74.7268,163.4375,106.6885,116.7359,1722.7678999999998
다사610482,145.7526,13.3098,109.4618,14.9818,161.9156,444.1335,382.0248,1271.5799000000002,208.3363,16.0735,139.9336,12.5981,84.2166,358.7783,229.4789,1049.4153000000001,213.3915,13.726,75.2965,21.6503,229.645,541.8474,424.1018,1519.6585
다사611481,269.1854,438.5009,389.4801,226.6901,466.6084,431.3962,291.9942,2513.8553,135.075,365.481,536.6766,258.0099,311.9711,547.4382,331.0857,2485.7375,367.1439,451.9564,300.366,154.0101,508.0482,554.466,295.913,2631.9036
다사611482,134.4689,271.1985,169.9401,246.2937,433.4466,225.9762,64.6204,1545.9444,199.8066,187.6805,211.7978,349.6077,336.5375,328.1373,84.7656,1698.3329999999999,181.5126,155.4808,234.0633,218.16,624.5255,200.7558,65.3153,1679.8132999999998
다사611483,403.8249,429.2092,241.4556,428.1987,424.4088,47.7027,112.2929,2087.0928,268.5514,396.3379,322.5579,563.1247,349.412,45.2824,137.1643,2082.4306,504.5746,312.262,353.3435,511.2732,370.2437,61.9072,92.3424,2205.9466
다사611484,389.5784,335.3424,233.7911,178.7342,449.6205,177.7176,208.6605,1973.4447,418.8303,190.6998,200.55,228.1665,408.9527,122.1332,298.3974,1867.7299000000003,491.509,453.688,235.6472,131.1182,526.029,134.5405,166.0594,2138.5913
다사611485,60.6298,206.1238,215.377,138.6737,223.9158,489.7481,117.2235,1451.6917,62.7212,124.1522,254.247,120.9314,188.3913,461.7803,152.2481,1364.4714999999999,73.5158,209.0327,197.4243,101.9996,276.0634,613.7926,64.0805,1535.9089
다사612480,249.5364,105.1935,130.6548,403.2605,5.5086,120.3501,293.0555,1307.5593999999999,199.7585,72.0554,155.1336,517.957,4.716,154.8181,312.3587,1416.7973,161.8145,144.3856,140.1866,445.8828,6.9002,131.3373,298.8002,1329.3072000000002
다사612481,482.8517,166.3489,195.2681,494.9672,429.3461,295.0392,82.6016,2146.4228,479.4597,136.8532,281.7829,407.6429,303.4105,178.2868,103.2382,1890.6742000000002,383.8581,230.8478,221.2639,299.4648,257.2924,276.3484,99.6661,1768.7415
다사612482,443.0002,430.9509,448.8947,87.4544,28.5766,95.4228,98.452,1632.7516000000003,335.4253,250.3778,466.3857,98.6757,16.063,80.7686,88.2999,1335.996,397.5227,226.1672,557.6093,55.1836,29.7892,104.1929,125.7632,1496.2281
다사612483,141.4277,371.2107,121.3836,449.2313,453.0942,441.9913,96.7244,2075.0632,179.6419,387.4403,115.2802,465.252,347.6775,327.8204,107.2957,1930.408,198.3763,334.1097,100.0945,509.1618,316.6696,250.6331,84.5971,1793.6421
다사612484,5.3782,199.3357,210.8536,168.5856,23.491,200.6435,16.1575,824.4451,6.1326,262.8934,145.3179,139.607,18.1918,190.8011,18.6717,781.6155000000001,3.478,156.1626,266.4933,120.7661,30.9083,293.676,17.8822,889.3665000000001
