GID,A00,A10,A20,A30,A40,A50,A60,TOTAL,WD_A00,WD_A10,WD_A20,WD_A30,WD_A40,WD_A50,WD_A60,WD_TOTAL,HD_A00,HD_A10,HD_A20,HD_A30,HD_A40,HD_A50,HD_A60,HD_TOTAL
다사608477,108.6079,106.7346,27.3696,132.2367,337.9868,78.6759,107.4876,899.0991,98.3146,93.9622,15.1881,161.8304,173.0057,70.9918,119.1685,732.4612999999999,64.8809,116.0908,15.0241,191.9806,410.1982,75.7592,97.4691,971.4029
다사608478,79.4801,157.4481,271.827,67.6764,428.3535,373.6212,125.586,1503.9923000000001,92.639,174.848,235.7378,95.8326,501.6192,317.3764,146.4987,1564.5517,45.7673,121.6942,302.3814,64.0582,317.8402,253.0691,85.547,1190.3574
다사609479,146.6932,29.9599,72.1479,342.8043,329.0387,290.7347,444.272,1655.6507,143.016,39.8683,80.7099,466.7165,302.3559,192.803,290.6485,1516.1181,164.8345,28.0587,101.6715,412.2345,324.5337,426.6323,479.715,1937.6801999999998
다사609480,286.6774,418.2858,95.5293,319.5866,378.7817,430.215,116.0715,2045.1472999999999,393.8574,386.2208,137.5546,270.3908,269.2047,504.5042,115.7498,2077.4823,326.1252,541.8515,112.128,213.8612,313.2566,288.361,100.6338,1896.2172999999998
다사609481,484.8454,198.0637,272.7012,184.5482,475.313,127.0366,38.3245,1780.8326,717.6584,208.3174,227.868,272.2191,246.875,106.3353,41.9175,1821.1907,514.9918,274.2063,382.6294,203.3336,274.1387,189.5916,56.4373,1895.3287
다사610481,458.1749,40.4925,483.7442,77.65,90.8598,33.8162,366.0968,1550.8344,411.4963,43.2135,263.4263,89.6925,93.947,25.8717,184.4935,1112.1408000000001,394.4723,39.6733,604.2693,67.0482,66.3829,46.1749,413.8959,1631.9168
다사610482,58.5986,255.4506,89.6998,282.607,271.6649,417.4149,131.2561,1506.6919,70.5382,268.9558,57.468,318.1933,285.7844,321.1122,155.1183,1477.1702000000002,86.243,215.044,86.8519,223.0913,278.1227,411.2594,189.4914,1490.1037000000001
다사611481,411.3298,292.5689,437.988,418.9684,25.5034,424.5113,8.132,2019.0018,310.7947,301.1895,251.5534,401.8419,20.2436,237.2216,7.8297,1530.6744,316.3551,168.0827,491.9863,270.0683,27.2157,442.2026,10.8905,1726.8012
다사611482,162.2116,90.4725,417.8354,107.7677,491.211,222.6477,222.1368,1714.2827,154.8901,130.956,344.0056,100.2393,327.6039,319.6075,147.1459,1524.4483,127.2336,88.6963,541.5391,98.9178,248.0987,205.2889,224.9364,1534.7108
다사611483,41.0351,147.048,450.6365,230.2257,294.8348,176.071,60.9287,1400.7797999999998,37.8069,212.8549,484.4744,202.9949,147.6405,263.2478,72.976,1421.9954000000002,46.0673,141.8971,232.6411,165.7387,302.595,110.8349,91.0018,1090.7759
