GID,A00,A10,A20,A30,A40,A50,A60,TOTAL,WD_A00,WD_A10,WD_A20,WD_A30,WD_A40,WD_A50,WD_A60,WD_TOTAL,HD_A00,HD_A10,HD_A20,HD_A30,HD_A40,HD_A50,HD_A60,HD_TOTAL
다사608477,451.8529,109.3709,228.1227,248.5194,219.7198,148.6559,375.0386,1781.2802000000001,516.3862,102.0024,217.5722,308.3567,231.0938,118.2569,365.0308,1858.6990000000003,504.0953,94.1664,144.4508,158.5303,146.8518,161.3385,476.4829,1685.916
다사608478,163.7778,323.582,447.5056,209.1452,347.1561,165.0453,20.3667,1676.5787,235.2744,368.9731,465.7768,154.5571,489.7314,211.756,17.6717,1943.7405000000003,168.5827,239.3541,229.4095,138.4828,400.4304,245.1023,12.7512,1434.1129999999998
다사609479,81.2573,191.9441,125.8492,271.9645,404.3598,70.9663,452.872,1599.2132000000001,99.2321,129.8937,79.5788,231.2389,360.5879,52.7329,394.2896,1347.5539,99.6306,99.1366,68.3809,271.2841,487.793,95.4066,275.4649,1397.0966999999998
다사609480,19.5808,14.7007,296.4891,128.9425,281.3004,327.8941,41.5805,1110.4881,21.1864,8.5678,413.7151,121.7454,371.1807,393.6772,60.3382,1390.4107999999999,9.8921,10.7325,419.056,97.9752,314.4339,192.5581,23.3561,1068.0039
다사609481,400.9541,255.4124,16.9045,184.5045,94.1034,43.0064,120.3446,1115.2298999999998,516.3506,307.961,21.2541,167.2759,76.8414,42.3867,152.0123,1284.082,586.3907,299.7717,24.2229,178.2281,82.4522,45.1007,68.5644,1284.7306999999998
다사610481,234.3371,450.0823,457.5799,216.3096,230.224,307.7607,268.4698,2164.7634,170.5669,395.9221,643.2966,118.5443,139.195,265.3828,317.9399,2050.8476,158.4496,437.2389,589.8303,113.1496,154.5564,334.8408,358.7597,2146.8252999999995
다사610482,43.7295,409.4294,263.5511,368.2175,13.5529,240.7729,268.3577,1607.6109999999999,45.5453,422.1348,227.4767,302.8444,15.8037,358.6415,189.7145,1562.1609,52.7117,226.6052,345.2874,467.6307,19.0842,138.4197,350.7908,1600.5296999999998
다사611481,55.2148,56.5461,113.6157,137.1717,110.7099,93.2953,426.3014,992.8549,66.3141,66.6074,76.7216,74.2626,68.9871,105.7421,389.2672,847.9021,48.9279,73.4648,119.403,179.9855,63.5691,134.7367,544.2136,1164.3006
다사611482,12.4512,145.612,185.5839,288.1699,455.562,351.1187,96.1027,1534.6003999999998,7.944,196.0061,235.1399,338.5029,503.2147,437.2534,137.416,1855.477,14.4149,205.7296,164.6572,347.0724,592.4598,333.8552,92.034,1750.2231000000002
다사611483,19.251,290.2028,208.9715,100.4617,30.6191,327.6379,385.8915,1363.0355,20.7167,271.9589,140.8413,99.3162,29.1366,273.3374,383.8898,1219.1969000000001,13.4368,357.7324,155.1036,120.8332,30.0959,186.4541,333.9078,1197.5638000000001
