GID,A00,A10,A20,A30,A40,A50,A60,TOTAL,WD_A00,WD_A10,WD_A20,WD_A30,WD_A40,WD_A50,WD_A60,WD_TOTAL,HD_A00,HD_A10,HD_A20,HD_A30,HD_A40,HD_A50,HD_A60,HD_TOTAL
다사608477,70.1619,308.8445,336.7334,350.1109,352.0777,212.467,367.1703,1997.5657,60.3195,156.632,349.7543,319.2307,235.0463,222.8698,233.5801,1577.4326999999998,78.4804,156.2207,486.4187,253.6189,481.8797,315.2793,283.8874,2055.7850999999996
다사608478,300.1193,270.2333,146.36,304.9598,278.6271,75.2806,54.4201,1430.0002,420.3558,335.022,110.9386,281.7994,409.056,111.4878,49.5054,1718.165,331.1627,394.1333,205.3983,204.3534,240.7695,100.0807,63.6409,1539.5388
다사609479,347.21,458.7533,390.195,5.7999,360.5859,26.026,433.6588,2022.2289,211.8756,517.8806,213.429,4.777,214.6269,36.8963,262.5561,1462.0415,499.1339,463.3153,545.065,8.019,418.7898,34.4565,330.239,2299.0185
다사609480,58.698,79.4261,167.9283,441.88,79.3304,402.0372,317.0969,1546.3969,52.8472,69.0475,183.0868,357.8489,48.0442,445.1076,242.122,1398.1042000000002,63.559,82.9936,126.4329,327.1761,67.6272,249.8464,281.0392,1198.6744
다사609481,423.0013,419.8127,423.7132,182.9138,219.7676,318.9152,394.2483,2382.3720999999996,485.0248,460.9433,583.2149,217.3821,117.8454,311.5653,488.0932,2664.0690000000004,365.9922,255.7048,363.845,103.8937,192.2178,461.2181,473.9556,2216.8271999999997
다사610481,236.888,204.218,257.6751,433.5036,1.9749,329.394,375.6462,1839.2997999999998,262.2757,298.1297,330.5575,419.0617,2.4084,491.7948,511.0753,2315.3031,346.5742,246.5173,285.5245,375.0556,1.156,243.136,287.5658,1785.5294000000001
다사610482,493.6397,130.6085,164.5885,42.8374,26.5383,159.5371,377.9746,1395.7241000000001,723.2196,194.2637,176.1555,28.66,16.4811,88.0814,347.729,1574.5903,305.9898,103.6861,200.9526,49.5517,14.019,171.9479,400.8194,1246.9665
다사611481,186.3641,288.1964,464.2766,92.1979,262.0853,293.4408,50.439,1637.0001,148.2287,321.3769,450.22,61.9262,160.4346,205.5033,60.8848,1408.5745000000002,172.827,389.5205,516.4166,90.373,295.0683,146.9548,31.1926,1642.3528000000003
다사611482,42.3605,146.0641,310.359,110.3772,379.2843,287.2268,312.0457,1587.7176,22.6917,171.9862,385.4252,151.9743,454.2964,291.1572,459.0677,1936.5987,33.5311,164.2085,229.5971,93.7828,383.816,336.3789,343.1734,1584.4877999999999
다사611483,26.4614,409.3683,107.0642,351.5945,383.1381,463.8021,400.4085,2141.8370999999997,29.5734,280.4581,128.7595,316.9097,301.5614,346.2365,380.6271,1784.1256999999998,23.0182,213.523,157.9116,441.3523,522.6851,658.8171,374.1844,2391.4917
다사611484,17.0941,469.0792,385.6375,31.627,58.0915,165.9022,1.2752,1128.7067,21.297,646.362,402.686,20.3597,58.8271,102.7053,1.0115,1253.2486000000001,11.5692,234.7272,210.2191,29.659,29.8519,168.0101,0.7247,684.7611999999999
다사611485,356.4358,413.1414,31.929,352.7324,407.2001,499.9437,147.8736,2209.256,272.1753,299.9205,40.0538,272.5159,216.8262,609.7393,126.944,1838.175,323.7652,479.4506,47.8188,351.5458,460.9171,585.8397,124.561,2373.8982
다사612480,44.5497,32.6852,103.538,465.7262,492.8175,260.4607,469.6984,1869.4757000000002,29.5607,30.4285,111.226,595.3774,265.2306,351.3653,552.1189,1935.3073999999997,63.9175,32.6888,107.5613,614.7033,589.1577,342.0621,247.9974,1998.0881000000002
다사612481,232.5063,401.3345,425.4181,495.2548,227.1981,490.8941,47.2645,2319.8704,263.2,495.7181,617.6983,521.895,124.7127,632.816,32.9858,2689.0259,266.4972,209.7101,510.6319,673.8772,159.1475,483.9881,34.9054,2338.7574
다사612482,352.9202,460.0754,126.0667,223.3266,483.6638,216.8162,86.7975,1949.6663999999998,315.4202,552.258,114.481,153.2866,695.9766,247.4062,107.2804,2186.109,295.0703,304.7172,155.9086,299.8328,447.4702,154.7956,112.6821,1770.4767999999997
다사612483,378.8358,459.5926,438.7893,245.5531,77.2561,14.4942,321.6901,1936.2112000000004,560.1727,483.4706,243.1565,304.4163,101.1124,8.1273,478.4495,2178.9053000000004,393.3457,449.2457,581.1945,129.6193,70.0991,14.0069,462.0204,2099.5316
다사612484,52.895,332.8327,9.0586,419.05,199.6098,109.1723,423.6806,1546.299,49.2244,338.0916,5.0022,494.5838,286.5178,90.7774,281.5894,1545.7866000000001,71.6003,299.6037,8.8578,533.1056,167.3225,133.111,292.4662,1506.0671
다사612485,114.2153,342.6002,212.3062,175.74,183.0482,55.6196,123.0009,1206.5303999999999,58.0003,467.5456,277.6231,125.1033,141.9184,73.943,171.8526,1315.9862999999998,152.0178,217.4223,273.6485,246.8286,246.7422,43.3865,77.1923,1257.2382
다사612486,0.5357,429.7216,365.0792,56.1369,416.452,251.2237,348.6923,1867.8414,0.6941,642.5372,236.4379,63.9532,336.029,210.1254,231.4641,1721.2409,0.7843,331.9232,447.3451,68.8577,222.2071,156.0367,422.716,1649.8701
다사612487,339.714,457.599,4.7245,24.4095,75.5907,103.7793,350.0485,1355.8654999999999,472.8246,291.5628,6.3617,28.334,84.9275,112.4683,447.1895,1443.6684,346.5267,495.0568,3.9665,32.4365,109.5955,93.4407,199.2919,1280.3146
다사613480,419.665,293.7801,189.9639,404.6898,256.1609,93.0857,77.7575,1735.1029,261.2136,400.0509,131.3632,474.7099,382.6183,102.1881,82.6773,1834.8213,474.0892,380.5195,227.3423,397.8571,185.7338,104.1493,81.6711,1851.3623
다사613481,413.4327,110.6261,250.8356,301.8676,215.8332,78.0852,273.6103,1644.2907,208.5542,141.6826,172.5121,316.2032,118.7707,95.1988,234.6812,1287.6028000000001,457.4434,164.0438,325.9396,153.2364,135.7991,65.2049,393.9005,1695.5676999999998
다사613482,137.2496,138.9977,209.6639,118.9488,106.9676,110.6323,428.3879,1250.8478,135.7367,164.5381,257.8326,62.7322,115.0784,78.1309,575.9078,1389.9567000000002,77.1484,169.6136,184.4095,77.3356,65.0704,144.0777,292.574,1010.2292000000002
다사613483,380.2976,248.9281,124.2752,225.2104,432.4223,36.671,254.5851,1702.3897,320.1072,238.2794,136.0417,288.5246,571.4206,45.729,157.5465,1757.6490000000001,558.7058,233.9957,95.0741,206.0569,294.0056,23.5983,341.3924,1752.8288
다사613484,64.3651,12.7882,367.1323,142.7578,366.3729,170.933,341.4718,1465.8211000000001,33.6978,15.9358,502.6485,91.345,538.035,179.3692,284.4163,1645.4476,40.0227,7.8721,365.341,79.9462,463.9929,112.058,309.3403,1378.5732
다사613485,59.6862,93.1806,413.1412,119.9066,200.2113,371.9664,193.6138,1451.7061,44.2795,83.6454,545.8994,142.7868,239.5124,386.1908,113.5803,1555.8946,79.8309,131.233,288.8152,150.1196,161.3141,485.8907,150.6486,1447.8520999999998
다사613486,84.0158,46.3478,407.1536,497.6652,166.0936,226.4477,162.6036,1590.3273,91.0405,59.0905,564.3682,631.1728,234.4236,150.0447,114.7096,1844.8499,124.5311,24.1786,451.0549,514.6666,245.6011,241.9643,236.2297,1838.2263000000003
다사613487,98.3425,7.7491,128.4566,293.3913,66.3073,110.5534,391.5341,1096.3343,82.9381,4.4002,155.3471,329.2513,90.0779,87.0827,465.5738,1214.6711,102.6958,6.1657,89.1771,259.2859,67.8202,122.6278,451.6321,1099.4046
