GID,A00,A10,A20,A30,A40,A50,A60,TOTAL,WD_A00,WD_A10,WD_A20,WD_A30,WD_A40,WD_A50,WD_A60,WD_TOTAL,HD_A00,HD_A10,HD_A20,HD_A30,HD_A40,HD_A50,HD_A60,HD_TOTAL
다사608477,40.0433,482.8106,161.3046,317.6533,337.7507,86.2648,400.8072,1826.6345,20.9945,642.8009,168.6169,269.6935,409.6583,123.348,502.8674,2137.9795,54.3783,469.0129,191.7809,195.8812,475.5682,64.5279,300.107,1751.2564
다사608478,170.4054,410.7829,420.3992,93.2599,172.3501,55.5397,8.5798,1331.3170000000002,153.7541,393.1628,382.8425,124.0558,104.9609,60.4723,12.7787,1232.0271,192.0792,596.1021,287.2218,95.045,107.3089,69.2271,4.6008,1351.5849
다사609479,418.5845,237.0475,156.3626,136.72,274.9033,44.6645,267.6276,1535.91,487.0552,137.8365,185.6101,147.2,171.5431,52.6616,199.4383,1381.3448,554.6184,336.7498,148.9542,132.0096,333.5308,46.8983,260.7707,1813.5318
다사609480,452.316,155.0445,42.216,340.7772,433.5734,496.5353,366.6289,2287.0913,228.1153,227.2686,30.5506,193.748,565.0924,415.9485,546.8504,2207.5738,337.0801,197.8492,32.9863,420.4382,466.8785,624.2168,414.6525,2494.1016000000004
다사609481,482.2245,0.0151,342.0551,314.5949,399.6551,358.917,106.761,2004.2226999999998,661.8142,0.0173,430.5886,466.7744,298.4672,251.7365,96.9241,2206.3223000000003,416.6068,0.0081,334.7483,443.6841,223.2105,406.0617,66.4908,1890.8102999999999
다사610481,130.3815,277.8291,384.5779,390.2062,301.1032,398.892,36.6785,1919.6684,162.5942,378.4228,233.1807,463.8741,412.4724,388.2577,48.087,2086.8889000000004,103.1815,246.1519,201.1219,382.9917,265.7724,380.735,44.6479,1624.6023
다사610482,474.6791,319.1272,5.2459,151.2912,168.9548,341.7244,57.6059,1518.6285,676.0186,450.6855,3.655,103.7545,234.0762,342.6421,45.9189,1856.7507999999998,280.1976,333.9144,7.3882,100.7492,168.1112,224.2453,45.1105,1159.7164
다사611481,371.5414,371.5718,409.6667,134.6455,369.7755,313.639,404.6544,2375.4943,281.8042,201.2166,443.7638,159.3693,448.0993,328.1926,227.6541,2090.0999,426.9212,453.7666,484.8007,137.6551,467.1467,244.3802,341.8274,2556.4979
다사611482,115.3873,142.1354,434.2776,334.3363,13.121,15.9564,478.1753,1533.3893000000003,101.8061,73.3671,422.8243,419.7788,9.4493,21.5152,577.885,1626.6258,123.5274,147.0011,644.0315,283.2455,18.247,18.9145,247.5194,1482.4864
다사611483,298.0625,337.353,480.1438,473.4802,204.4066,492.3028,118.6496,2404.3985000000002,406.3999,219.7981,647.2526,483.3082,230.7372,646.1729,75.5024,2709.1713,331.159,292.3251,367.8313,324.1937,261.5287,298.7181,153.2264,2028.9823000000001
다사611484,258.3068,322.579,494.6753,421.9656,107.9454,253.2102,449.1101,2307.7924,232.8632,483.8605,470.3377,373.8472,112.2225,161.6578,590.7154,2425.5043,331.2383,182.0349,735.0124,212.107,128.3226,243.2837,257.4396,2089.4384999999997
다사611485,485.6954,237.094,370.4941,484.651,294.2153,41.6766,400.749,2314.5754,607.2463,218.4517,413.2961,645.0434,233.6319,23.6993,583.1395,2724.5082,705.1532,171.4551,359.719,344.2989,147.9394,33.4147,281.3965,2043.3768
다사612480,10.1649,391.6319,236.9891,192.5484,42.1788,284.5164,412.9575,1570.987,15.0383,468.9677,183.3596,173.9626,30.6646,215.098,285.4765,1372.5673,12.7488,293.8133,189.5728,231.9988,31.2076,177.2824,508.0881,1444.7117999999998
다사612481,125.5148,114.2418,233.0193,418.348,495.4411,417.548,479.4316,2283.5446,185.8616,165.9622,152.4317,444.5381,496.3438,521.1579,680.7452,2647.0405,143.9938,155.38,203.091,244.5642,653.8841,335.6296,477.5766,2214.1193
